G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2016-10-27,ATL,,WAS,W,114,99,110.2,95.7,103.4,.205,.295,.594,56.5,63.6,12.6,9.5,,.568,18.0,33.3,.159,,15.7,76.0,.138
2,2016-10-29,ATL,@,PHI,W,104,72,103.7,71.8,100.3,.271,.235,.547,54.7,73.8,11.0,11.3,,.524,11.2,14.6,.176,,18.8,91.1,.138
3,2016-10-31,ATL,,SAC,W,106,95,113.1,101.3,93.7,.595,.380,.532,53.1,72.7,11.7,11.5,,.487,11.5,34.7,.367,,18.6,81.3,.173
4,2016-11-02,ATL,,LAL,L,116,123,114.2,121.1,101.6,.341,.376,.593,46.8,73.2,9.8,1.5,,.547,15.5,24.4,.271,,13.2,71.1,.200
5,2016-11-04,ATL,@,WAS,L,92,95,90.1,93.0,102.1,.434,.301,.465,50.5,68.8,11.7,5.0,,.416,15.4,22.2,.277,,16.6,77.1,.350
6,2016-11-05,ATL,,HOU,W,112,97,110.4,95.7,101.4,.282,.235,.586,50.6,64.4,16.8,12.2,,.576,16.6,29.5,.165,,22.3,72.1,.129
7,2016-11-08,ATL,@,CLE,W,110,106,112.7,108.6,97.6,.296,.358,.601,56.2,53.7,1.0,7.0,,.574,17.2,29.7,.210,,5.2,75.0,.212
8,2016-11-09,ATL,,CHI,W,115,107,114.2,106.3,100.7,.325,.241,.606,60.8,57.1,7.9,10.9,,.560,18.1,36.1,.265,,11.5,81.4,.176
9,2016-11-12,ATL,,PHI,W,117,96,117.7,96.6,99.4,.147,.337,.578,57.1,64.6,10.1,11.1,,.574,13.7,34.1,.084,,17.1,78.7,.157
10,2016-11-15,ATL,@,MIA,W,93,90,95.0,91.9,97.9,.238,.213,.526,42.2,48.6,14.3,6.1,,.500,17.7,16.2,.163,,19.5,63.0,.124
11,2016-11-16,ATL,,MIL,W,107,100,108.3,101.2,98.8,.431,.444,.625,45.3,82.9,6.1,12.1,,.556,15.7,8.6,.375,,11.7,70.6,.143
12,2016-11-18,ATL,@,CHO,L,96,100,96.3,100.3,99.7,.202,.333,.525,52.7,64.1,9.0,9.8,,.506,14.9,18.2,.131,,9.9,83.7,.178
13,2016-11-20,ATL,@,NYK,L,94,104,98.0,108.5,95.9,.341,.247,.481,49.0,50.0,7.3,9.8,,.435,11.7,26.4,.235,,13.7,75.6,.114
14,2016-11-22,ATL,,NOP,L,94,112,98.4,117.3,95.5,.118,.341,.526,50.0,56.4,5.2,9.8,,.518,14.4,14.6,.071,,9.0,87.2,.128
15,2016-11-23,ATL,@,IND,W,96,85,98.3,87.0,97.6,.259,.235,.507,60.2,47.2,11.3,12.3,,.453,18.2,36.2,.224,,16.6,84.8,.119
16,2016-11-25,ATL,@,UTA,L,68,95,72.4,101.1,93.9,.145,.301,.385,42.1,42.3,8.5,8.7,,.361,13.7,11.5,.096,,15.4,79.1,.188
17,2016-11-27,ATL,@,LAL,L,94,109,99.3,115.1,94.7,.114,.398,.509,41.8,64.1,5.3,8.0,,.511,11.5,15.6,.045,,8.0,67.4,.179
18,2016-11-28,ATL,@,GSW,L,100,105,99.5,104.5,100.5,.353,.341,.509,54.9,55.6,10.9,8.0,,.465,15.5,27.7,.247,,12.8,84.1,.224
19,2016-11-30,ATL,@,PHO,L,107,109,105.5,107.5,101.4,.112,.281,.573,49.4,44.4,8.9,8.8,,.556,17.6,20.0,.090,,13.0,71.7,.213
20,2016-12-02,ATL,,DET,L,85,121,88.8,126.4,95.7,.227,.273,.439,37.2,68.8,6.3,3.3,,.398,6.7,12.2,.170,,13.7,70.3,.090
21,2016-12-03,ATL,@,TOR,L,84,128,87.8,133.7,95.7,.159,.318,.446,44.2,60.0,7.3,7.4,,.438,16.0,26.5,.080,,11.0,67.6,.098
22,2016-12-05,ATL,,OKC,L,99,102,98.8,101.8,100.2,.416,.286,.543,45.6,76.5,13.0,6.1,,.487,16.5,16.7,.312,,17.1,78.4,.225
23,2016-12-07,ATL,,MIA,W,103,95,111.3,102.6,92.6,.170,.216,.544,58.8,62.8,9.7,17.0,,.511,12.9,35.9,.148,,15.3,80.5,.200
24,2016-12-09,ATL,@,MIL,W,114,110,110.2,106.3,103.4,.345,.405,.589,51.7,80.0,6.8,12.1,,.548,14.9,20.9,.262,,13.0,80.4,.106
