G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-17,BOS,@,CLE,L,99,102,99.7,102.7,99.3,.284,.364,.500,47.9,66.7,11.1,6.6,,.455,9.2,18.0,.216,,15.3,80.4,.253
2,2017-10-18,BOS,,MIL,L,100,108,102.2,110.4,97.9,.231,.308,.499,48.9,59.0,12.3,3.6,,.489,10.7,22.0,.121,,14.4,84.2,.329
3,2017-10-20,BOS,@,PHI,W,102,92,102.5,92.4,99.5,.381,.345,.520,53.9,45.7,4.0,8.3,,.476,16.2,29.8,.262,,13.9,74.5,.130
4,2017-10-24,BOS,,NYK,W,110,89,116.4,94.2,94.5,.360,.387,.633,48.8,70.3,11.6,9.6,,.587,12.1,13.5,.293,,12.7,76.6,.188
5,2017-10-26,BOS,@,MIL,W,96,89,100.4,93.1,95.6,.282,.385,.547,54.9,63.6,7.3,7.7,,.494,14.6,14.6,.244,,16.1,95.1,.104
6,2017-10-28,BOS,@,MIA,W,96,90,102.4,96.0,93.7,.321,.284,.519,50.6,44.1,11.7,10.4,,.457,11.5,24.4,.272,,18.1,83.3,.190
7,2017-10-30,BOS,,SAS,W,108,94,117.8,102.5,91.7,.182,.352,.568,57.4,57.1,10.9,9.8,,.540,12.0,34.9,.148,,10.3,76.5,.115
8,2017-11-01,BOS,,SAC,W,113,86,127.1,96.7,88.9,.232,.500,.625,66.7,75.0,11.2,4.9,,.591,15.0,45.7,.195,,14.8,83.7,.123
9,2017-11-03,BOS,@,OKC,W,101,94,109.8,102.2,92.0,.286,.333,.534,50.5,63.9,6.5,3.8,,.506,9.6,22.9,.190,,11.4,77.6,.126
10,2017-11-05,BOS,@,ORL,W,104,88,104.5,88.5,99.5,.225,.371,.532,54.5,66.7,10.1,1.6,,.500,11.7,20.5,.169,,11.6,81.8,.176
