G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,BRK,@,DET,L,100,103,100.0,103.0,100.0,.268,.329,.545,45.9,70.0,9.0,7.4,,.518,15.6,13.5,.183,,12.1,70.8,.207
2,2018-10-19,BRK,,NYK,W,107,105,114.1,112.0,93.8,.320,.400,.625,60.4,59.5,2.1,8.7,,.573,20.5,33.3,.280,,2.8,78.2,.186
3,2018-10-20,BRK,@,IND,L,112,132,109.9,129.5,101.9,.256,.430,.585,50.0,61.0,5.9,8.8,,.570,17.3,23.1,.163,,9.0,75.6,.152
4,2018-10-24,BRK,@,CLE,W,102,86,107.4,90.5,95.0,.172,.391,.545,45.4,60.5,8.4,1.4,,.517,13.0,17.8,.138,,13.5,69.2,.169
5,2018-10-26,BRK,@,NOP,L,115,117,112.2,114.1,102.5,.153,.408,.550,54.0,60.5,5.9,10.7,,.536,14.7,34.0,.102,,9.1,71.7,.204
6,2018-10-28,BRK,,GSW,L,114,120,114.3,120.3,99.7,.172,.483,.609,44.0,66.7,5.0,5.4,,.598,13.8,12.5,.115,,10.8,72.7,.236
7,2018-10-29,BRK,@,NYK,L,96,115,106.1,127.1,90.5,.262,.452,.512,37.6,64.7,6.6,10.3,,.470,9.6,22.9,.202,,11.5,56.8,.174
8,2018-10-31,BRK,,DET,W,120,119,109.7,108.8,99.1,.297,.376,.525,50.0,60.5,4.6,5.1,,.485,12.3,30.5,.218,,12.7,72.5,.323
9,2018-11-02,BRK,,HOU,L,111,119,120.1,128.8,92.4,.235,.400,.592,48.1,52.4,5.4,9.1,,.582,9.6,23.1,.141,,8.5,72.5,.265
10,2018-11-04,BRK,,PHI,W,122,97,120.6,95.9,101.2,.171,.267,.540,45.2,54.0,10.9,6.7,,.519,7.4,28.8,.124,,24.5,71.9,.477
11,2018-11-06,BRK,@,PHO,W,104,82,106.9,84.3,97.3,.207,.391,.518,51.5,53.7,9.3,8.9,,.495,9.1,24.5,.141,,18.2,81.3,.210
