G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,CHO,@,CLE,L,114,121,112.3,119.2,101.5,.167,.489,.590,39.0,64.4,9.8,7.0,,.589,13.4,16.7,.089,,15.8,70.6,.172
2,2020-12-26,CHO,,OKC,L,107,109,102.8,104.7,104.1,.344,.344,.500,46.5,73.0,10.6,15.4,,.468,10.8,22.4,.215,,14.0,79.1,.216
3,2020-12-27,CHO,,BRK,W,106,104,103.3,101.4,102.6,.177,.354,.512,53.1,81.4,7.8,8.6,,.500,10.4,24.5,.104,,17.0,86.7,.207
4,2020-12-30,CHO,@,DAL,W,118,99,117.2,98.4,100.6,.250,.405,.633,56.2,69.8,6.0,13.3,,.601,19.8,31.6,.202,,12.1,74.5,.218
5,2021-01-01,CHO,,MEM,L,93,108,93.9,109.1,99.0,.244,.360,.488,46.7,65.7,9.1,7.8,,.459,15.9,20.8,.163,,13.7,76.2,.089
6,2021-01-02,CHO,@,PHI,L,112,127,111.3,126.3,100.6,.283,.380,.541,47.1,89.5,14.9,11.4,,.484,10.4,26.9,.250,,19.0,78.8,.215
7,2021-01-04,CHO,@,PHI,L,101,118,99.8,116.6,101.2,.256,.453,.528,46.1,83.3,4.0,6.3,,.494,14.3,16.3,.186,,8.7,73.6,.158
8,2021-01-06,CHO,@,ATL,W,102,94,101.8,93.9,100.2,.388,.424,.512,46.2,68.8,11.0,12.5,,.441,8.3,15.1,.318,,11.1,77.4,.156
9,2021-01-08,CHO,@,NOP,W,118,110,125.6,117.1,94.0,.287,.483,.602,55.6,80.5,10.6,10.3,,.563,12.5,38.1,.230,,17.7,74.4,.247
10,2021-01-09,CHO,,ATL,W,113,105,119.0,110.5,95.0,.312,.429,.645,46.6,67.5,11.6,15.9,,.617,14.6,16.7,.234,,12.1,67.3,.258
11,2021-01-11,CHO,,NYK,W,109,88,120.1,96.9,90.8,.295,.410,.618,43.0,73.7,8.8,16.0,,.571,10.2,13.5,.256,,14.5,65.3,.126
12,2021-01-13,CHO,,DAL,L,93,104,94.9,106.1,98.0,.140,.380,.438,49.5,68.4,8.2,14.0,,.430,9.4,26.8,.070,,8.8,74.5,.094
13,2021-01-14,CHO,@,TOR,L,108,111,114.9,118.1,94.0,.138,.402,.585,52.4,76.2,11.7,13.2,,.569,16.3,34.1,.103,,15.4,69.8,.125
14,2021-01-16,CHO,@,TOR,L,113,116,111.8,114.7,101.1,.333,.414,.566,52.7,68.4,5.9,13.5,,.523,12.3,25.0,.253,,13.3,83.7,.267
15,2021-01-22,CHO,,CHI,L,110,123,109.1,122.0,100.8,.294,.376,.573,51.7,52.4,7.9,1.9,,.535,17.9,30.0,.224,,12.1,69.4,.104
