G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,CLE,,CHO,W,121,114,119.2,112.3,101.5,.230,.345,.632,61.0,73.9,11.8,6.5,,.609,15.8,29.4,.172,,13.4,83.3,.089
2,2020-12-26,CLE,@,DET,W,128,119,105.2,97.8,100.6,.303,.303,.570,47.2,60.4,10.7,7.5,,.551,13.8,13.0,.192,,16.4,81.5,.235
3,2020-12-27,CLE,,PHI,W,118,94,117.5,93.6,100.4,.176,.253,.602,53.6,64.6,12.9,14.3,,.577,14.0,26.2,.143,,19.1,81.0,.203
4,2020-12-29,CLE,,NYK,L,86,95,89.9,99.3,95.6,.250,.364,.440,43.9,68.8,13.6,18.5,,.403,11.7,25.5,.170,,22.1,67.4,.165
5,2020-12-31,CLE,@,IND,L,99,119,99.9,120.1,99.1,.293,.280,.535,49.4,59.5,5.0,11.5,,.524,16.3,23.9,.159,,12.5,78.0,.218
6,2021-01-02,CLE,@,ATL,W,96,91,100.9,95.7,95.1,.187,.319,.487,48.9,50.0,10.5,3.8,,.456,13.2,31.3,.143,,17.6,67.4,.118
7,2021-01-04,CLE,@,ORL,L,83,103,90.7,112.6,91.5,.141,.329,.460,39.3,60.6,13.1,7.4,,.447,13.4,20.0,.082,,16.9,59.1,.136
8,2021-01-06,CLE,@,ORL,L,94,105,101.3,113.1,92.8,.306,.306,.487,51.1,66.7,9.7,7.7,,.447,9.4,27.1,.212,,14.4,80.0,.160
9,2021-01-07,CLE,@,MEM,W,94,90,102.3,97.9,91.9,.203,.380,.546,43.5,66.7,12.0,5.8,,.538,14.8,15.9,.114,,17.2,73.2,.084
10,2021-01-09,CLE,@,MIL,L,90,100,96.7,107.5,93.1,.184,.299,.479,51.1,44.4,6.4,8.3,,.454,13.8,29.2,.126,,14.0,75.0,.167
11,2021-01-11,CLE,,MEM,L,91,101,97.3,108.0,93.6,.171,.317,.516,50.0,54.1,11.8,12.1,,.518,16.2,23.3,.073,,14.7,81.1,.205
12,2021-01-12,CLE,,UTA,L,87,117,93.3,125.5,93.2,.156,.344,.452,45.5,65.7,7.5,10.3,,.433,11.1,24.0,.100,,15.2,73.7,.107
13,2021-01-15,CLE,,NYK,W,106,103,113.8,110.6,93.2,.430,.342,.564,55.2,72.2,9.7,10.5,,.513,13.8,30.4,.316,,11.9,82.9,.171
14,2021-01-20,CLE,,BRK,W,147,135,125.1,114.9,97.3,.193,.367,.622,49.0,51.8,8.5,9.2,,.606,10.6,23.5,.138,,12.0,74.5,.226
15,2021-01-22,CLE,,BRK,W,125,113,129.1,116.7,96.8,.368,.287,.618,63.3,53.3,7.2,6.8,,.563,10.6,36.1,.310,,10.4,86.0,.172
16,2021-01-24,CLE,@,BOS,L,103,141,99.4,136.1,103.6,.400,.388,.515,38.2,70.6,9.7,12.3,,.459,14.5,20.8,.294,,12.5,63.9,.247
17,2021-01-25,CLE,,LAL,L,108,115,114.8,122.3,94.1,.256,.244,.564,52.4,47.5,8.5,5.5,,.517,15.1,37.5,.221,,11.6,65.9,.241
18,2021-01-27,CLE,,DET,W,122,107,120.1,105.4,101.6,.264,.241,.628,48.1,51.1,13.8,12.7,,.603,14.1,22.9,.195,,18.8,69.0,.268
19,2021-01-29,CLE,@,NYK,L,81,102,91.2,114.9,88.8,.214,.310,.441,51.2,51.7,9.0,9.4,,.393,13.2,29.8,.179,,13.0,78.4,.175
20,2021-01-31,CLE,@,MIN,L,104,109,105.3,110.3,98.8,.274,.190,.552,61.8,48.8,3.0,5.9,,.512,16.8,27.0,.214,,7.6,86.5,.121
21,2021-02-01,CLE,,MIN,W,100,98,106.8,104.7,93.6,.369,.262,.512,53.6,74.3,4.3,18.8,,.458,11.7,33.3,.274,,7.0,71.2,.069
22,2021-02-03,CLE,,LAC,L,99,121,106.7,130.4,92.8,.185,.109,.498,44.6,51.2,8.6,13.3,,.467,7.4,22.4,.141,,13.9,76.5,.165
23,2021-02-05,CLE,,MIL,L,105,123,102.9,120.6,102.0,.174,.348,.530,40.0,56.1,6.9,12.0,,.505,10.0,12.8,.130,,9.3,69.8,.165
24,2021-02-06,CLE,,MIL,L,99,124,101.5,127.1,97.5,.244,.326,.520,48.2,53.8,4.1,1.9,,.488,12.0,17.8,.174,,7.7,84.2,.163
25,2021-02-08,CLE,@,PHO,L,113,119,120.4,126.8,93.9,.291,.279,.582,48.8,52.3,5.3,7.6,,.558,9.3,25.0,.198,,9.2,68.2,.156
26,2021-02-10,CLE,@,DEN,L,95,133,95.9,134.2,99.1,.213,.394,.462,55.7,69.4,7.1,14.3,,.426,14.2,34.0,.160,,10.5,88.6,.176
27,2021-02-12,CLE,@,POR,L,110,129,108.9,127.7,101.0,.425,.264,.533,47.7,52.6,5.9,6.3,,.483,9.6,21.7,.299,,12.6,77.5,.361
28,2021-02-14,CLE,@,LAC,L,111,128,109.3,126.0,101.6,.269,.269,.534,46.0,58.1,3.9,6.9,,.500,12.6,23.9,.194,,8.8,70.7,.352
29,2021-02-15,CLE,@,GSW,L,98,129,95.3,125.5,102.8,.211,.316,.472,55.7,51.4,9.7,5.9,,.432,14.1,30.6,.168,,12.6,87.2,.227
30,2021-02-19,CLE,,DEN,L,103,120,108.9,126.8,94.6,.253,.373,.558,47.9,76.9,8.5,8.2,,.542,16.3,29.5,.157,,14.6,77.8,.163
31,2021-02-21,CLE,,OKC,L,101,117,106.8,123.7,94.6,.238,.417,.544,53.2,56.4,9.5,7.8,,.512,13.9,30.4,.179,,13.5,84.8,.228
32,2021-02-23,CLE,,ATL,W,112,111,120.7,119.6,92.8,.244,.359,.648,46.8,68.3,7.5,17.2,,.622,14.8,20.0,.192,,10.0,69.0,.191
33,2021-02-24,CLE,,HOU,W,112,96,119.9,102.7,93.4,.176,.424,.611,62.5,55.8,4.3,17.5,,.600,14.9,31.4,.118,,6.7,83.0,.156
34,2021-02-27,CLE,@,PHI,W,112,109,103.2,100.4,98.3,.299,.247,.510,53.1,58.5,11.1,5.5,,.464,12.7,25.5,.227,,16.2,83.0,.277
35,2021-03-01,CLE,@,HOU,W,101,90,106.5,94.9,94.8,.329,.411,.604,61.5,63.9,7.4,13.3,,.562,18.5,18.8,.260,,13.9,91.3,.237
36,2021-03-03,CLE,,IND,L,111,114,113.1,116.2,98.1,.181,.337,.619,61.4,67.4,8.2,1.7,,.584,21.8,32.4,.169,,10.9,88.9,.145
37,2021-03-12,CLE,@,NOP,L,82,116,84.2,119.2,97.4,.227,.364,.424,32.0,43.3,8.2,11.7,,.381,5.8,8.9,.170,,10.6,59.6,.158
38,2021-03-14,CLE,@,ATL,L,82,100,96.9,118.2,84.6,.284,.370,.450,41.0,61.3,4.7,11.9,,.432,12.5,27.5,.148,,15.4,62.5,.338
39,2021-03-16,CLE,@,MIA,L,98,113,109.6,126.4,89.4,.163,.407,.532,46.7,59.0,7.8,10.3,,.512,13.2,31.9,.116,,12.1,62.8,.224
40,2021-03-17,CLE,,BOS,W,117,110,123.3,115.9,94.9,.446,.311,.661,50.0,57.5,6.3,6.0,,.608,14.5,21.9,.365,,10.6,68.8,.227
41,2021-03-19,CLE,,SAS,L,110,116,114.5,120.7,96.1,.360,.303,.534,48.0,48.7,8.3,5.7,,.478,8.8,30.6,.281,,11.3,65.3,.307
42,2021-03-21,CLE,,TOR,W,116,105,109.1,98.7,106.3,.364,.429,.649,59.3,74.4,7.5,8.2,,.617,22.5,20.0,.273,,11.9,83.9,.168
43,2021-03-22,CLE,,SAC,L,105,119,104.6,118.6,100.4,.240,.177,.495,44.3,53.7,13.0,6.7,,.448,7.0,20.4,.198,,14.4,74.4,.089
44,2021-03-24,CLE,@,CHI,W,103,94,111.5,101.8,92.4,.109,.315,.534,50.5,66.7,8.7,12.7,,.516,9.4,25.5,.087,,14.4,77.3,.145
45,2021-03-26,CLE,@,LAL,L,86,100,85.5,99.5,100.6,.350,.325,.466,45.1,77.4,10.9,7.7,,.419,18.5,21.7,.238,,20.5,75.0,.231
46,2021-03-27,CLE,@,SAC,L,98,100,104.4,106.6,93.8,.274,.310,.521,45.0,54.1,11.7,4.0,,.494,6.9,15.9,.179,,17.3,80.6,.138
47,2021-03-29,CLE,@,UTA,L,75,114,80.6,122.5,93.0,.193,.410,.416,42.1,58.6,5.4,12.2,,.392,10.0,11.5,.120,,11.5,79.1,.232
48,2021-04-01,CLE,,PHI,L,94,114,94.0,114.0,100.0,.263,.438,.527,42.1,76.5,5.0,5.4,,.488,16.8,8.5,.200,,8.0,75.0,.204
49,2021-04-03,CLE,@,MIA,L,101,115,107.4,122.3,94.1,.338,.419,.594,48.6,71.4,7.4,9.1,,.541,15.0,13.2,.284,,11.0,88.2,.146
50,2021-04-05,CLE,@,SAS,W,125,101,130.4,105.4,95.9,.314,.395,.639,55.3,64.4,5.2,7.0,,.593,5.8,18.9,.267,,9.3,83.3,.313
51,2021-04-08,CLE,@,OKC,W,129,102,131.2,103.7,98.4,.255,.394,.617,50.0,72.9,8.1,5.3,,.580,6.3,21.4,.213,,13.7,76.1,.101
52,2021-04-10,CLE,,TOR,L,115,135,110.8,130.1,103.8,.302,.407,.590,45.1,69.2,10.6,9.3,,.541,14.9,17.1,.256,,15.6,83.3,.140
53,2021-04-11,CLE,,NOP,L,109,116,111.0,118.1,98.2,.200,.471,.589,41.9,70.7,7.1,8.1,,.559,15.5,20.0,.165,,14.1,65.9,.244
54,2021-04-14,CLE,@,CHO,W,103,90,115.7,101.1,89.1,.250,.408,.610,55.3,73.0,10.1,17.5,,.572,15.1,24.3,.211,,11.8,79.2,.071
55,2021-04-15,CLE,,GSW,L,101,119,102.8,121.2,98.2,.333,.383,.544,45.3,60.0,11.2,4.3,,.494,12.3,17.4,.259,,13.5,77.5,.087
56,2021-04-17,CLE,@,CHI,L,96,106,107.4,118.5,89.4,.080,.341,.527,53.7,69.2,6.7,2.4,,.511,9.9,24.4,.068,,10.4,89.2,.098
57,2021-04-19,CLE,@,DET,L,105,109,104.6,108.6,100.4,.233,.302,.554,47.0,57.1,9.0,13.6,,.517,15.2,20.9,.186,,15.1,75.0,.174
58,2021-04-21,CLE,,CHI,W,121,105,125.1,108.5,96.7,.216,.409,.628,50.0,60.0,8.3,2.4,,.602,9.4,20.9,.170,,17.9,82.1,.177
59,2021-04-23,CLE,@,CHO,L,102,108,115.1,121.8,88.7,.175,.375,.592,55.3,65.9,4.5,1.9,,.575,15.7,32.4,.125,,4.7,70.6,.149
