G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,DAL,@,PHO,L,100,121,108.0,130.6,92.6,.227,.375,.517,46.3,73.7,7.6,10.6,,.489,8.5,20.8,.159,,11.1,82.4,.173
2,2018-10-20,DAL,,MIN,W,140,136,128.4,124.7,109.0,.347,.510,.620,56.0,59.2,7.3,14.0,,.587,12.4,35.7,.255,,14.3,81.8,.405
3,2018-10-22,DAL,,CHI,W,115,109,116.7,110.6,98.5,.226,.505,.562,54.7,62.5,8.1,3.5,,.511,12.8,32.5,.215,,17.6,80.0,.175
4,2018-10-24,DAL,@,ATL,L,104,111,96.2,102.7,108.1,.286,.440,.508,49.1,65.8,6.5,17.0,,.484,14.2,17.0,.176,,12.5,81.1,.242
5,2018-10-26,DAL,@,TOR,L,107,116,106.2,115.2,100.7,.261,.326,.522,46.8,57.9,6.0,9.4,,.478,12.0,20.8,.207,,10.7,73.9,.187
6,2018-10-28,DAL,,UTA,L,104,113,105.1,114.2,99.0,.275,.308,.510,50.0,63.2,6.1,5.5,,.467,11.3,25.5,.209,,16.7,79.5,.238
7,2018-10-29,DAL,@,SAS,L,108,113,97.7,102.2,100.1,.187,.374,.548,54.4,34.9,8.1,4.2,,.527,18.3,18.2,.132,,14.5,89.1,.220
8,2018-10-31,DAL,@,LAL,L,113,114,107.8,108.7,104.9,.221,.337,.599,50.6,55.8,4.8,7.5,,.576,19.6,24.4,.163,,17.5,78.9,.214
9,2018-11-02,DAL,,NYK,L,106,118,110.0,122.4,96.4,.296,.358,.579,50.0,55.0,6.2,1.8,,.562,16.4,26.8,.185,,11.2,74.4,.226
10,2018-11-06,DAL,,WAS,W,119,100,121.2,101.8,98.2,.329,.415,.634,61.0,64.1,4.1,11.5,,.567,15.3,27.0,.317,,9.5,88.9,.172
11,2018-11-07,DAL,@,UTA,L,102,117,101.9,116.9,100.1,.548,.329,.563,58.3,48.3,3.0,7.7,,.452,20.9,30.8,.493,,9.9,82.2,.202
12,2018-11-10,DAL,,OKC,W,111,96,118.1,102.2,94.0,.221,.377,.657,41.8,72.1,9.6,7.9,,.649,15.9,12.9,.143,,13.2,56.7,.113
13,2018-11-12,DAL,@,CHI,W,103,98,99.0,94.2,104.0,.367,.418,.561,52.1,48.6,10.6,12.5,,.532,17.2,15.9,.241,,14.7,84.0,.225
14,2018-11-14,DAL,,UTA,W,118,68,118.9,68.5,99.2,.312,.364,.674,60.7,53.3,12.1,13.0,,.662,17.8,21.9,.208,,19.0,84.6,.148
15,2018-11-17,DAL,,GSW,W,112,109,112.1,109.1,99.9,.395,.395,.555,49.5,45.0,6.0,8.2,,.523,9.0,18.6,.256,,10.6,76.0,.170
16,2018-11-19,DAL,@,MEM,L,88,98,92.5,103.0,95.1,.239,.364,.452,48.9,56.7,8.4,8.2,,.398,8.5,14.9,.205,,15.0,87.8,.152
17,2018-11-21,DAL,,BRK,W,119,113,120.9,114.8,98.5,.526,.346,.620,51.7,55.3,10.2,5.8,,.558,11.9,23.5,.410,,11.9,69.8,.160
18,2018-11-24,DAL,,BOS,W,113,104,116.0,106.7,97.4,.241,.471,.587,50.6,64.3,12.3,5.2,,.575,14.3,28.3,.149,,15.6,76.9,.140
19,2018-11-28,DAL,@,HOU,W,128,108,134.6,113.6,95.1,.282,.400,.670,49.3,58.7,10.5,16.7,,.641,12.8,30.3,.224,,14.1,64.3,.172
20,2018-11-30,DAL,@,LAL,L,103,114,97.4,107.8,105.8,.395,.453,.510,49.5,58.8,8.5,7.1,,.453,13.7,19.1,.291,,14.5,80.4,.244
21,2018-12-02,DAL,,LAC,W,114,110,109.2,105.4,104.4,.274,.242,.536,59.3,47.6,5.7,7.0,,.484,13.1,32.1,.232,,8.7,85.5,.179
22,2018-12-04,DAL,,POR,W,111,102,111.6,102.5,99.5,.398,.341,.537,51.0,65.8,11.1,6.7,,.494,11.2,28.8,.273,,16.1,76.1,.226
23,2018-12-05,DAL,@,NOP,L,106,132,100.5,125.1,105.5,.231,.505,.529,49.5,66.7,6.6,6.3,,.505,15.2,21.2,.154,,9.8,87.2,.141
24,2018-12-08,DAL,,HOU,W,107,104,119.4,116.0,89.6,.193,.361,.594,55.0,51.2,10.0,7.7,,.566,14.3,35.0,.157,,11.6,75.0,.128
25,2018-12-10,DAL,,ORL,W,101,76,105.7,79.5,95.6,.305,.427,.543,55.3,80.0,7.3,6.6,,.488,11.4,20.5,.256,,14.1,86.0,.045
26,2018-12-12,DAL,,ATL,W,114,107,112.5,105.6,101.3,.573,.453,.607,45.0,62.9,12.8,8.3,,.547,13.0,12.5,.427,,17.5,66.7,.108
27,2018-12-13,DAL,@,PHO,L,89,99,90.9,101.1,97.9,.423,.423,.481,57.0,45.2,7.2,6.2,,.429,19.9,33.3,.282,,11.5,76.5,.163
28,2018-12-16,DAL,,SAC,L,113,120,109.4,116.2,103.3,.323,.365,.515,53.0,55.0,5.8,7.5,,.464,11.3,30.8,.250,,7.7,77.1,.194
29,2018-12-18,DAL,@,DEN,L,118,126,119.3,127.4,98.9,.349,.430,.595,41.3,65.0,8.1,1.6,,.552,7.5,14.6,.267,,13.3,69.2,.156
30,2018-12-20,DAL,@,LAC,L,121,125,124.5,128.6,97.2,.359,.304,.568,52.9,55.8,8.2,0.0,,.522,9.4,35.6,.272,,11.0,72.5,.301
31,2018-12-22,DAL,@,GSW,L,116,120,113.3,117.2,102.4,.304,.424,.556,46.0,66.7,8.8,5.5,,.533,11.1,22.0,.196,,11.0,70.0,.153
32,2018-12-23,DAL,@,POR,L,118,121,104.9,107.6,101.8,.272,.330,.512,48.0,51.2,0.9,3.0,,.476,7.2,14.8,.194,,7.5,85.4,.115
33,2018-12-26,DAL,,NOP,W,122,119,120.1,117.1,101.6,.469,.432,.624,54.1,59.0,3.0,20.6,,.556,10.9,20.0,.395,,8.8,84.4,.256
34,2018-12-28,DAL,@,NOP,L,112,114,118.0,120.2,94.9,.423,.410,.605,44.3,51.4,7.4,8.2,,.571,14.7,27.5,.295,,9.3,58.3,.229
35,2018-12-30,DAL,,OKC,W,105,103,101.7,99.8,103.2,.272,.481,.579,55.7,56.8,7.8,5.5,,.543,20.2,22.0,.210,,9.7,85.1,.151
36,2018-12-31,DAL,@,OKC,L,102,122,91.6,109.6,111.3,.459,.514,.573,51.6,67.7,6.3,3.8,,.514,22.6,12.5,.351,,7.8,80.0,.233
37,2019-01-02,DAL,@,CHO,W,122,84,124.2,85.5,98.2,.189,.474,.593,55.3,70.5,9.2,6.9,,.558,8.9,26.1,.168,,12.5,78.9,.156
38,2019-01-04,DAL,@,BOS,L,93,114,96.0,117.7,96.9,.216,.500,.483,48.0,47.1,9.3,3.9,,.449,12.7,22.0,.159,,10.6,73.1,.094
39,2019-01-05,DAL,@,PHI,L,100,106,99.5,105.5,100.5,.261,.352,.510,50.0,71.1,4.0,5.3,,.483,13.3,18.0,.170,,9.3,83.3,.265
40,2019-01-07,DAL,,LAL,L,97,107,95.7,105.6,101.4,.279,.349,.502,54.2,33.3,9.9,10.8,,.465,15.7,29.8,.198,,10.9,77.6,.181
41,2019-01-09,DAL,,PHO,W,104,94,105.8,95.6,98.3,.643,.486,.579,53.2,70.0,7.1,8.5,,.514,17.5,21.1,.457,,13.9,82.9,.179
42,2019-01-11,DAL,@,MIN,W,119,115,118.9,114.9,100.1,.247,.392,.553,44.8,56.8,7.0,9.0,,.521,6.1,23.4,.186,,10.8,65.3,.108
43,2019-01-13,DAL,,GSW,L,114,119,120.3,125.6,94.8,.319,.418,.549,51.0,55.3,5.3,7.4,,.505,10.4,35.3,.242,,8.8,67.3,.101
44,2019-01-16,DAL,,SAS,L,101,105,117.5,122.2,86.0,.186,.488,.543,53.8,59.5,7.0,5.7,,.517,12.3,34.2,.140,,9.3,72.5,.120
45,2019-01-19,DAL,@,IND,L,99,111,106.3,119.1,93.2,.227,.420,.511,49.4,56.8,5.4,6.6,,.472,11.8,29.2,.182,,10.3,73.2,.224
46,2019-01-21,DAL,@,MIL,L,106,116,101.6,111.2,104.3,.172,.404,.498,48.5,58.5,6.7,18.6,,.485,9.4,20.4,.101,,12.2,82.2,.220
47,2019-01-22,DAL,,LAC,W,106,98,114.4,105.8,92.7,.358,.420,.565,53.9,55.3,5.4,10.9,,.531,10.5,25.0,.247,,6.3,73.6,.242
48,2019-01-25,DAL,,DET,W,106,101,115.1,109.7,92.1,.370,.444,.563,48.3,64.9,8.7,12.8,,.543,8.7,21.4,.222,,11.1,72.3,.224
49,2019-01-27,DAL,,TOR,L,120,123,119.4,122.4,100.5,.386,.409,.583,49.4,58.1,5.0,4.1,,.551,9.7,16.3,.261,,6.6,81.8,.386
50,2019-01-30,DAL,@,NYK,W,114,90,117.4,92.7,97.1,.131,.452,.642,59.0,68.9,4.1,1.9,,.625,16.8,19.4,.107,,11.7,89.4,.256
51,2019-01-31,DAL,@,DET,L,89,93,99.3,103.7,89.7,.159,.284,.473,45.8,50.0,2.2,9.4,,.449,9.6,22.9,.114,,10.3,68.8,.209
52,2019-02-02,DAL,@,CLE,W,111,98,118.6,104.7,93.6,.226,.464,.601,53.2,50.0,2.1,6.5,,.571,12.3,21.4,.179,,5.7,78.8,.306
53,2019-02-06,DAL,,CHO,W,99,93,100.1,94.0,98.9,.181,.383,.488,54.8,65.8,8.1,9.6,,.463,11.4,27.8,.128,,12.7,84.0,.135
