G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,DET,,BRK,W,103,100,103.0,100.0,100.0,.239,.261,.506,54.1,53.8,5.0,9.1,,.457,12.1,29.2,.207,,15.6,86.5,.183
2,2018-10-20,DET,@,CHI,W,118,116,118.1,116.1,99.9,.228,.396,.531,54.4,51.2,4.0,6.1,,.495,7.5,33.3,.178,,10.1,86.1,.241
3,2018-10-23,DET,,PHI,W,133,132,119.3,118.4,101.0,.250,.306,.555,48.9,43.1,3.6,7.3,,.528,6.3,23.1,.176,,9.1,81.0,.204
4,2018-10-25,DET,,CLE,W,110,103,115.3,108.0,95.4,.372,.359,.606,61.5,51.2,4.2,7.7,,.596,18.1,36.1,.218,,8.6,83.3,.146
5,2018-10-27,DET,,BOS,L,89,109,88.2,108.0,100.9,.225,.416,.455,46.5,48.5,4.0,5.8,,.410,10.1,11.5,.180,,11.8,83.7,.198
6,2018-10-30,DET,@,BOS,L,105,108,102.0,105.0,102.9,.307,.341,.526,52.1,45.9,5.8,5.7,,.466,14.5,22.4,.261,,12.5,83.0,.298
7,2018-10-31,DET,@,BRK,L,119,120,108.8,109.7,99.1,.419,.366,.540,50.0,41.0,7.3,9.5,,.478,12.7,27.5,.323,,12.3,69.5,.218
8,2018-11-03,DET,@,PHI,L,99,109,93.5,102.9,105.9,.494,.361,.490,49.4,48.5,7.6,7.5,,.428,14.4,14.3,.337,,15.7,92.5,.638
9,2018-11-05,DET,,MIA,L,115,120,100.3,104.7,103.8,.267,.333,.490,54.5,62.8,7.0,4.5,,.462,13.9,33.9,.171,,13.2,81.3,.204
10,2018-11-07,DET,@,ORL,W,103,96,100.5,93.7,102.4,.222,.411,.521,55.6,56.8,12.7,1.7,,.472,16.1,27.7,.200,,18.0,86.0,.080
11,2018-11-09,DET,@,ATL,W,124,109,120.5,105.9,102.9,.196,.485,.588,45.4,65.2,9.7,11.8,,.577,8.7,18.5,.124,,14.2,79.1,.380
12,2018-11-11,DET,,CHO,L,103,113,106.7,117.1,96.5,.183,.423,.458,52.6,55.3,5.2,7.0,,.423,8.2,35.5,.144,,11.4,82.9,.188
13,2018-11-14,DET,@,TOR,W,106,104,100.8,98.9,105.1,.143,.363,.548,44.3,54.5,7.6,6.9,,.538,14.9,15.9,.088,,16.7,72.7,.109
14,2018-11-19,DET,,CLE,W,113,102,125.7,113.4,89.9,.213,.427,.580,58.1,63.4,5.6,6.9,,.534,9.3,34.2,.202,,8.7,77.1,.304
15,2018-11-21,DET,@,HOU,L,124,126,127.1,129.1,97.6,.435,.400,.612,50.7,50.0,8.2,2.6,,.565,13.6,32.6,.329,,14.6,81.5,.458
16,2018-11-23,DET,,HOU,W,116,111,116.0,111.0,90.5,.455,.307,.549,52.7,45.0,11.0,8.1,,.494,11.0,34.1,.330,,11.5,67.3,.194
17,2018-11-25,DET,,PHO,W,118,107,120.6,109.4,97.8,.269,.441,.567,49.4,69.8,9.2,0.0,,.548,10.3,28.9,.172,,15.7,73.7,.183
18,2018-11-27,DET,,NYK,W,115,108,111.4,104.6,103.2,.563,.300,.576,49.0,52.6,4.8,10.9,,.519,11.5,15.9,.400,,11.0,75.9,.297
19,2018-11-30,DET,,CHI,W,107,88,110.0,90.4,97.3,.174,.370,.540,56.5,58.5,5.1,7.7,,.516,11.6,28.3,.130,,14.0,84.8,.128
20,2018-12-01,DET,,GSW,W,111,102,111.9,102.9,99.2,.204,.357,.520,51.6,51.2,8.1,3.4,,.500,9.3,28.0,.133,,12.9,80.5,.212
21,2018-12-03,DET,,OKC,L,83,110,79.6,105.5,104.2,.202,.340,.405,44.1,51.6,9.6,5.0,,.362,12.8,16.4,.160,,15.3,84.2,.200
22,2018-12-05,DET,@,MIL,L,92,115,86.4,108.0,106.5,.200,.400,.445,52.6,54.3,5.6,2.4,,.416,16.2,22.2,.137,,13.6,90.7,.305
23,2018-12-07,DET,,PHI,L,111,117,111.1,117.1,99.9,.416,.315,.527,55.1,59.5,10.0,5.2,,.455,13.2,37.8,.337,,13.9,72.7,.222
24,2018-12-09,DET,,NOP,L,108,116,109.3,117.4,98.8,.245,.296,.497,50.0,65.1,8.1,10.2,,.485,8.4,30.4,.133,,16.8,78.9,.253
25,2018-12-10,DET,@,PHI,L,102,116,104.4,118.8,97.7,.250,.250,.547,48.9,56.1,5.1,9.8,,.542,13.9,23.8,.131,,11.2,69.2,.261
26,2018-12-12,DET,@,CHO,L,107,108,108.4,109.4,98.7,.244,.395,.562,53.8,57.5,4.1,17.5,,.541,12.8,21.7,.163,,6.5,86.7,.341
27,2018-12-15,DET,,BOS,W,113,104,110.4,101.6,102.3,.438,.375,.592,52.2,64.1,9.8,11.5,,.550,15.9,23.8,.313,,11.9,76.0,.181
28,2018-12-17,DET,,MIL,L,104,107,106.3,109.4,97.8,.170,.398,.550,54.9,64.1,3.1,3.2,,.523,14.5,23.8,.136,,9.6,87.5,.114
29,2018-12-19,DET,@,MIN,W,129,123,119.3,113.7,98.0,.298,.511,.607,47.3,56.5,2.8,2.9,,.596,10.9,17.4,.181,,5.7,76.6,.233
30,2018-12-21,DET,@,CHO,L,86,98,95.5,108.9,90.0,.268,.415,.469,48.8,65.6,8.9,9.8,,.439,13.2,27.3,.171,,15.5,72.5,.267
31,2018-12-23,DET,,ATL,L,95,98,93.4,96.3,101.8,.325,.349,.501,43.2,61.8,5.9,13.2,,.470,14.4,11.4,.205,,13.6,70.6,.220
32,2018-12-26,DET,,WAS,W,106,95,109.5,98.1,96.8,.238,.463,.600,59.7,67.6,8.3,8.0,,.550,20.7,30.6,.225,,15.3,85.4,.120
33,2018-12-28,DET,@,IND,L,88,125,88.1,125.2,99.9,.132,.396,.457,50.6,73.5,7.0,8.8,,.423,18.6,30.8,.121,,11.9,80.0,.161
34,2018-12-30,DET,@,ORL,L,107,109,111.7,113.8,95.8,.250,.337,.524,53.1,53.8,6.3,3.3,,.467,9.7,32.1,.228,,12.0,79.1,.259
35,2019-01-01,DET,@,MIL,L,98,121,100.3,123.9,97.7,.228,.359,.484,50.0,65.7,7.2,3.8,,.446,12.1,26.9,.174,,12.6,85.3,.215
36,2019-01-02,DET,@,MEM,W,101,94,112.4,104.6,89.8,.265,.482,.545,48.8,63.9,7.8,5.0,,.530,7.0,16.3,.157,,11.2,81.4,.231
37,2019-01-05,DET,,UTA,L,105,110,103.9,108.9,101.0,.244,.305,.578,51.2,46.2,6.9,3.3,,.543,16.5,12.5,.195,,11.1,84.8,.305
38,2019-01-07,DET,,SAS,L,107,119,117.4,130.5,91.2,.200,.376,.579,49.3,52.4,5.5,3.4,,.547,9.8,23.7,.165,,8.8,75.7,.329
39,2019-01-09,DET,@,LAL,L,100,113,107.5,121.5,93.0,.163,.512,.543,41.3,59.0,8.6,3.4,,.535,8.9,15.6,.093,,13.5,74.3,.159
40,2019-01-10,DET,@,SAC,L,102,112,101.6,111.5,100.4,.293,.463,.551,44.0,62.9,12.9,4.7,,.494,17.0,20.0,.256,,16.7,71.8,.174
41,2019-01-12,DET,@,LAC,W,109,104,114.3,109.1,95.3,.259,.435,.576,55.8,54.1,12.6,8.9,,.529,14.5,30.4,.224,,16.4,85.0,.311
42,2019-01-14,DET,@,UTA,L,94,100,95.1,101.2,98.8,.178,.400,.484,40.9,45.7,13.2,9.3,,.450,8.5,10.2,.144,,15.1,75.0,.325
43,2019-01-16,DET,,ORL,W,120,115,122.7,117.5,88.6,.272,.326,.583,56.0,59.1,4.1,7.3,,.543,8.8,32.6,.217,,9.9,80.5,.074
44,2019-01-18,DET,,MIA,W,98,93,104.2,98.9,94.1,.220,.402,.545,48.3,65.7,7.4,4.2,,.506,10.9,17.4,.183,,18.2,82.9,.065
45,2019-01-19,DET,,SAC,L,101,103,109.5,111.7,92.2,.305,.354,.543,54.1,58.3,6.5,3.1,,.500,13.1,31.7,.232,,10.2,75.0,.146
46,2019-01-21,DET,@,WAS,L,87,101,88.6,102.9,98.2,.234,.442,.512,47.1,71.0,5.1,5.4,,.474,16.7,4.8,.182,,12.5,88.4,.266
47,2019-01-23,DET,@,NOP,W,98,94,101.4,97.3,96.6,.213,.438,.503,50.0,66.7,5.2,4.3,,.478,8.5,18.0,.146,,11.2,83.3,.044
48,2019-01-25,DET,@,DAL,L,101,106,109.7,115.1,92.1,.294,.447,.526,51.7,62.9,6.5,0.0,,.482,11.1,27.7,.224,,8.7,78.6,.222
49,2019-01-29,DET,,MIL,L,105,115,112.4,123.1,93.4,.135,.416,.557,50.0,69.0,8.6,5.5,,.539,10.4,23.3,.101,,9.9,82.9,.092
50,2019-01-31,DET,,DAL,W,93,89,103.7,99.3,89.7,.267,.384,.484,54.2,63.6,5.6,7.9,,.436,10.3,31.3,.209,,9.6,77.1,.114
51,2019-02-02,DET,,LAC,L,101,111,105.0,115.3,96.2,.241,.506,.550,44.7,60.0,6.2,6.5,,.524,13.2,16.3,.169,,11.0,73.8,.256
52,2019-02-04,DET,,DEN,W,129,103,128.9,102.9,100.1,.227,.420,.666,62.4,66.7,8.0,12.5,,.636,17.1,42.1,.193,,11.3,78.7,.130
53,2019-02-05,DET,@,NYK,W,105,92,115.6,101.3,90.8,.304,.430,.586,48.2,59.5,4.4,12.3,,.544,9.1,16.2,.241,,10.2,72.9,.122
54,2019-02-08,DET,,NYK,W,120,103,123.8,106.3,96.9,.337,.349,.608,54.1,57.1,3.1,10.7,,.564,10.8,27.5,.267,,11.9,77.8,.333
55,2019-02-11,DET,,WAS,W,121,112,122.8,113.7,98.5,.247,.424,.642,56.5,56.8,6.1,4.4,,.606,14.5,25.0,.212,,13.2,84.4,.167
56,2019-02-13,DET,@,BOS,L,110,118,112.0,120.1,98.2,.405,.476,.556,46.6,52.8,7.1,2.0,,.506,10.0,21.3,.298,,14.5,75.6,.136
57,2019-02-22,DET,@,ATL,W,125,122,121.5,118.6,102.9,.295,.421,.582,48.4,43.5,10.7,8.7,,.563,6.9,21.3,.189,,15.7,77.3,.182
58,2019-02-23,DET,@,MIA,W,119,96,124.9,100.8,95.2,.325,.413,.651,55.4,50.0,6.3,9.3,,.613,13.3,22.6,.263,,12.2,79.1,.232
59,2019-02-25,DET,,IND,W,113,109,121.8,117.5,92.8,.295,.466,.568,52.8,71.8,8.6,6.6,,.545,10.8,33.3,.193,,10.3,72.7,.218
60,2019-02-27,DET,@,SAS,L,93,105,98.7,111.4,94.3,.070,.380,.451,42.7,52.8,6.4,4.7,,.435,4.6,14.3,.060,,10.2,82.5,.148
61,2019-03-02,DET,@,CLE,W,129,93,139.4,100.5,92.6,.195,.425,.683,60.7,57.4,5.4,17.8,,.655,8.7,27.3,.172,,11.4,82.4,.329
62,2019-03-03,DET,,TOR,W,112,107,110.3,105.4,92.0,.337,.384,.567,47.9,62.5,9.8,5.3,,.535,13.2,20.0,.233,,12.3,67.9,.198
63,2019-03-06,DET,,MIN,W,131,114,136.0,118.3,96.3,.237,.355,.638,53.2,58.0,5.2,5.3,,.613,4.6,26.2,.183,,12.2,83.8,.238
64,2019-03-08,DET,@,CHI,W,112,104,113.7,105.5,98.5,.253,.325,.607,53.9,51.1,5.1,13.8,,.596,14.0,20.6,.157,,14.8,81.0,.183
65,2019-03-10,DET,,CHI,W,131,108,136.7,112.7,95.8,.242,.385,.651,54.3,69.4,5.2,1.6,,.643,6.5,24.4,.154,,9.7,85.0,.207
66,2019-03-11,DET,@,BRK,L,75,103,77.0,105.7,97.4,.165,.351,.360,48.0,59.3,7.2,6.3,,.320,10.3,26.2,.134,,16.1,86.5,.177
67,2019-03-13,DET,@,MIA,L,74,108,82.7,120.7,89.5,.234,.481,.436,42.0,74.1,7.8,12.5,,.403,16.7,20.8,.156,,10.4,67.5,.226
68,2019-03-15,DET,,LAL,W,111,97,114.4,100.0,97.0,.372,.453,.555,51.5,70.3,5.2,6.6,,.529,12.3,30.8,.233,,12.6,75.6,.221
69,2019-03-17,DET,,TOR,W,110,107,120.2,116.9,91.5,.325,.325,.580,53.7,59.0,8.7,6.5,,.518,9.5,26.2,.289,,12.0,82.5,.134
70,2019-03-18,DET,@,CLE,L,119,126,128.9,136.4,92.4,.223,.468,.576,56.6,57.1,6.5,7.0,,.543,9.6,38.0,.181,,8.1,84.8,.291
71,2019-03-21,DET,@,PHO,W,118,98,125.4,104.2,94.1,.378,.467,.562,56.8,60.5,11.7,12.8,,.517,11.0,40.4,.278,,18.4,79.4,.288
72,2019-03-23,DET,@,POR,L,112,117,125.4,131.0,89.3,.167,.405,.621,40.8,57.1,10.1,5.7,,.583,7.2,16.2,.167,,11.7,67.6,.253
73,2019-03-24,DET,@,GSW,L,114,121,130.7,138.7,87.2,.298,.369,.600,43.9,64.1,6.9,0.0,,.536,5.9,25.0,.286,,13.6,73.1,.216
74,2019-03-26,DET,@,DEN,L,92,95,96.3,99.4,95.5,.127,.412,.427,50.0,52.8,5.2,3.3,,.407,5.3,27.4,.088,,12.8,78.0,.161
75,2019-03-28,DET,,ORL,W,115,98,124.0,105.7,92.7,.140,.407,.630,50.0,54.3,8.6,14.3,,.634,10.8,26.3,.070,,10.5,68.8,.170
76,2019-03-30,DET,,POR,W,99,90,99.4,90.4,99.6,.302,.291,.508,43.3,54.1,8.0,7.4,,.459,9.3,14.6,.233,,13.0,67.9,.098
77,2019-04-01,DET,@,IND,L,102,111,108.3,117.8,94.2,.216,.375,.529,49.4,55.3,7.4,9.1,,.500,13.5,31.4,.159,,16.4,78.1,.221
78,2019-04-03,DET,,IND,L,89,108,91.3,110.8,97.5,.300,.513,.491,51.1,67.7,6.2,7.0,,.456,16.6,24.4,.200,,9.8,77.8,.174
79,2019-04-05,DET,@,OKC,L,110,123,107.2,119.9,102.6,.383,.506,.581,35.2,57.1,9.7,11.1,,.525,12.9,9.5,.309,,13.3,57.1,.149
80,2019-04-07,DET,,CHO,L,91,104,101.7,116.2,89.5,.163,.446,.461,55.6,58.8,3.4,12.3,,.424,8.4,33.3,.141,,4.8,82.2,.205
81,2019-04-09,DET,,MEM,W,100,93,109.6,101.9,91.3,.318,.386,.498,48.2,45.7,14.2,8.9,,.455,8.2,28.0,.227,,21.2,78.8,.246
82,2019-04-10,DET,@,NYK,W,115,89,123.0,95.2,93.5,.235,.388,.613,62.9,61.0,5.3,4.3,,.565,12.2,27.5,.224,,11.1,91.8,.234
