G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-16,GSW,,OKC,W,108,100,105.6,97.7,102.3,.189,.274,.525,56.3,66.7,6.8,13.0,,.479,16.9,37.0,.179,,11.5,71.9,.264
2,2018-10-19,GSW,@,UTA,W,124,123,120.3,119.4,103.1,.207,.218,.653,53.1,55.1,9.7,14.0,,.621,14.4,22.2,.184,,13.6,77.8,.270
3,2018-10-21,GSW,@,DEN,L,98,100,100.3,102.4,97.7,.304,.367,.547,46.0,61.1,4.1,11.1,,.500,16.7,15.0,.241,,7.1,72.3,.279
4,2018-10-22,GSW,,PHO,W,123,103,119.9,100.4,102.6,.295,.420,.618,47.1,77.8,11.7,7.7,,.591,12.3,17.5,.216,,18.3,73.3,.186
5,2018-10-24,GSW,,WAS,W,144,122,134.9,114.3,106.7,.272,.359,.699,58.5,69.8,5.6,9.8,,.658,12.7,27.0,.250,,10.2,84.4,.280
6,2018-10-26,GSW,@,NYK,W,128,100,128.4,100.3,99.7,.138,.379,.694,49.4,51.0,10.0,11.8,,.678,13.2,17.1,.115,,16.6,75.0,.100
7,2018-10-28,GSW,@,BRK,W,120,114,120.3,114.3,99.7,.270,.371,.603,56.0,63.6,11.0,15.6,,.556,10.8,27.3,.236,,13.8,87.5,.115
8,2018-10-29,GSW,@,CHI,W,149,124,142.5,118.6,104.6,.271,.469,.693,52.7,64.2,8.6,11.9,,.677,6.1,20.0,.198,,7.6,77.4,.223
9,2018-10-31,GSW,,NOP,W,131,121,125.0,115.5,104.8,.337,.360,.641,52.3,83.0,9.5,7.0,,.618,14.3,28.6,.236,,12.6,73.9,.228
10,2018-11-02,GSW,,MIN,W,116,99,115.1,98.3,100.8,.250,.386,.594,61.0,72.1,3.0,16.1,,.563,14.1,27.9,.193,,4.5,86.0,.099
11,2018-11-05,GSW,,MEM,W,117,101,123.2,106.3,95.0,.284,.296,.642,60.5,70.7,4.2,7.1,,.586,12.5,23.5,.272,,9.8,90.5,.193
12,2018-11-08,GSW,,MIL,L,111,134,104.5,126.2,106.2,.253,.322,.574,45.2,73.8,4.7,9.1,,.540,15.7,19.5,.195,,9.6,69.8,.208
13,2018-11-10,GSW,,BRK,W,116,100,125.6,108.3,92.3,.253,.193,.629,46.8,58.7,9.7,13.2,,.596,9.8,17.1,.205,,13.5,71.4,.273
14,2018-11-12,GSW,@,LAC,L,116,121,104.8,109.3,100.3,.245,.330,.557,48.4,61.4,6.3,11.3,,.532,14.0,20.4,.170,,12.4,85.4,.330
15,2018-11-13,GSW,,ATL,W,110,103,113.6,106.4,96.8,.231,.297,.549,53.3,71.8,8.3,10.5,,.495,11.5,28.9,.220,,12.8,77.8,.124
16,2018-11-15,GSW,@,HOU,L,86,107,100.1,124.6,85.9,.289,.237,.502,51.8,56.3,2.3,12.5,,.447,15.7,30.8,.237,,4.8,69.6,.241
17,2018-11-17,GSW,@,DAL,L,109,112,109.1,112.1,99.9,.181,.351,.537,50.5,57.1,6.0,11.5,,.495,10.6,24.0,.170,,9.0,81.4,.256
18,2018-11-18,GSW,@,SAS,L,92,104,96.9,109.6,94.9,.244,.302,.483,48.9,57.1,6.3,5.9,,.436,10.4,21.3,.198,,9.1,76.6,.130
19,2018-11-21,GSW,,OKC,L,95,123,92.9,120.3,102.3,.289,.349,.508,40.8,66.7,6.8,14.1,,.476,15.4,14.0,.193,,8.2,66.0,.075
20,2018-11-23,GSW,,POR,W,125,97,125.3,97.2,99.8,.188,.376,.679,52.4,60.4,11.0,14.5,,.665,14.0,18.2,.141,,11.2,75.5,.129
21,2018-11-24,GSW,,SAC,W,117,116,115.2,114.2,101.6,.330,.386,.581,53.5,68.3,4.9,8.7,,.523,12.2,26.1,.284,,6.8,76.4,.216
