G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,HOU,,NOP,L,112,131,108.8,127.2,103.0,.261,.522,.546,40.7,53.8,7.8,9.6,,.511,9.7,16.7,.196,,10.0,67.4,.173
2,2018-10-20,HOU,@,LAL,W,124,115,114.8,106.4,108.1,.313,.438,.568,55.1,50.0,6.5,5.9,,.542,12.8,27.1,.208,,8.5,82.0,.110
3,2018-10-21,HOU,@,LAC,L,112,115,113.2,116.3,98.9,.169,.393,.586,41.7,65.1,6.1,9.4,,.567,11.2,14.0,.124,,11.5,70.7,.292
4,2018-10-24,HOU,,UTA,L,89,100,93.3,104.9,95.4,.161,.460,.478,42.7,45.7,12.6,10.2,,.466,13.9,20.8,.092,,16.6,73.5,.282
5,2018-10-26,HOU,,LAC,L,113,133,110.1,129.6,102.7,.255,.418,.518,48.8,55.3,10.7,12.5,,.464,10.7,29.1,.224,,13.5,83.9,.443
6,2018-10-30,HOU,,POR,L,85,104,88.6,108.4,96.0,.240,.448,.400,49.0,58.1,7.3,15.0,,.375,9.4,31.3,.135,,15.9,80.6,.250
7,2018-11-02,HOU,@,BRK,W,119,111,128.8,120.1,92.4,.386,.470,.613,51.9,53.7,4.3,19.6,,.584,8.5,27.5,.265,,9.6,76.9,.141
8,2018-11-03,HOU,@,CHI,W,96,88,99.4,91.1,96.6,.241,.506,.523,54.9,60.0,13.5,10.4,,.500,16.4,23.3,.157,,18.6,89.7,.366
9,2018-11-05,HOU,@,IND,W,98,94,105.0,100.7,93.3,.211,.618,.590,50.0,67.6,9.6,12.8,,.546,16.2,13.5,.197,,14.5,82.9,.267
10,2018-11-08,HOU,@,OKC,L,80,98,89.8,110.0,89.1,.122,.512,.463,42.9,51.6,10.1,6.8,,.445,15.6,23.5,.085,,13.3,67.5,.210
11,2018-11-10,HOU,@,SAS,L,89,96,97.3,105.0,91.4,.322,.456,.433,51.6,36.7,10.9,9.3,,.383,7.2,28.3,.222,,14.9,81.0,.270
12,2018-11-11,HOU,,IND,W,115,103,122.2,109.4,94.1,.432,.635,.653,52.1,50.0,6.4,10.2,,.622,14.6,21.1,.311,,12.7,85.7,.256
13,2018-11-13,HOU,@,DEN,W,109,99,122.2,111.0,89.2,.366,.521,.661,50.8,59.0,7.9,11.8,,.641,14.5,20.0,.254,,16.2,78.8,.158
14,2018-11-15,HOU,,GSW,W,107,86,124.6,100.1,85.9,.299,.540,.543,48.2,57.1,9.3,6.9,,.494,4.8,30.4,.241,,15.7,69.2,.237
15,2018-11-17,HOU,,SAC,W,132,112,125.6,106.6,105.1,.296,.580,.721,51.3,58.7,8.6,14.9,,.691,19.4,18.8,.247,,11.5,72.9,.088
16,2018-11-21,HOU,,DET,W,126,124,129.1,127.1,97.6,.500,.458,.717,49.3,45.0,8.2,13.7,,.646,14.6,18.5,.458,,13.6,67.4,.329
17,2018-11-23,HOU,@,DET,L,111,116,111.0,116.0,90.5,.214,.367,.518,47.3,53.7,6.0,11.5,,.469,11.5,32.7,.194,,11.0,65.9,.330
18,2018-11-24,HOU,@,CLE,L,108,117,117.2,126.9,92.2,.378,.527,.626,38.8,48.6,5.4,5.9,,.601,15.6,21.6,.257,,11.2,53.5,.244
19,2018-11-26,HOU,@,WAS,L,131,135,124.1,127.9,95.6,.278,.495,.602,55.8,47.8,7.6,8.3,,.567,14.9,38.3,.216,,11.2,76.9,.270
20,2018-11-28,HOU,,DAL,L,108,128,113.6,134.6,95.1,.264,.517,.556,50.7,70.0,10.5,9.8,,.534,14.1,35.7,.172,,12.8,69.7,.224
21,2018-11-30,HOU,@,SAS,W,136,105,141.1,108.9,96.4,.204,.551,.637,54.4,65.3,9.3,10.3,,.612,4.5,28.9,.163,,12.1,80.0,.198
22,2018-12-01,HOU,,CHI,W,121,105,117.4,101.8,103.1,.357,.488,.622,53.4,54.8,7.8,12.5,,.595,12.6,15.0,.250,,11.7,85.4,.216
23,2018-12-03,HOU,@,MIN,L,91,103,98.9,111.9,92.0,.257,.527,.552,44.7,75.0,9.8,10.0,,.507,19.5,19.4,.216,,12.9,67.5,.244
24,2018-12-06,HOU,@,UTA,L,91,118,91.3,118.4,99.7,.193,.409,.477,47.8,38.2,5.0,8.8,,.432,19.4,28.6,.170,,10.6,70.7,.225
25,2018-12-08,HOU,@,DAL,L,104,107,116.0,119.4,89.6,.151,.547,.567,45.0,51.3,5.6,5.7,,.541,11.6,25.0,.128,,14.3,65.0,.157
26,2018-12-11,HOU,,POR,W,111,104,121.0,113.3,91.8,.318,.341,.573,48.8,52.4,9.8,8.1,,.547,6.7,27.9,.212,,12.7,69.8,.207
27,2018-12-13,HOU,,LAL,W,126,111,134.1,118.1,94.0,.376,.400,.636,58.1,57.1,8.5,4.2,,.582,11.6,38.5,.318,,11.6,80.0,.188
28,2018-12-15,HOU,@,MEM,W,105,97,118.3,109.2,88.8,.342,.507,.625,50.7,65.7,5.6,3.8,,.568,12.5,17.1,.301,,14.5,83.3,.160
29,2018-12-17,HOU,,UTA,W,102,97,98.1,93.2,104.0,.360,.430,.512,42.9,50.0,12.5,14.9,,.442,14.6,18.0,.302,,19.4,73.2,.280
30,2018-12-19,HOU,,WAS,W,136,118,136.8,118.7,99.4,.247,.647,.722,56.9,63.8,8.0,3.7,,.706,13.7,22.9,.188,,10.5,89.2,.214
31,2018-12-20,HOU,@,MIA,L,99,101,106.8,109.0,92.7,.366,.659,.520,40.2,69.0,6.5,5.6,,.463,7.8,16.3,.280,,7.7,62.3,.215
32,2018-12-22,HOU,,SAS,W,108,101,115.2,107.7,93.8,.221,.568,.518,57.4,59.5,4.3,4.7,,.489,7.9,33.3,.158,,8.8,88.6,.080
33,2018-12-25,HOU,,OKC,W,113,109,109.7,105.8,103.0,.175,.454,.541,50.9,40.9,8.7,5.9,,.526,15.4,33.3,.113,,12.3,67.3,.143
34,2018-12-27,HOU,,BOS,W,127,113,130.3,116.0,97.4,.407,.523,.626,59.8,41.5,4.1,8.0,,.581,11.4,34.0,.314,,10.4,86.7,.309
35,2018-12-29,HOU,@,NOP,W,108,104,109.6,105.6,98.5,.346,.568,.579,46.4,60.0,9.1,10.9,,.531,11.4,17.8,.272,,12.3,79.5,.141
36,2018-12-31,HOU,,MEM,W,113,101,118.1,105.5,95.7,.643,.586,.629,54.1,61.3,5.2,7.0,,.571,12.6,17.5,.471,,9.5,86.7,.232
37,2019-01-03,HOU,@,GSW,W,135,134,124.6,123.6,98.1,.283,.545,.606,50.5,66.7,7.4,7.7,,.561,8.2,25.5,.242,,11.4,79.5,.137
38,2019-01-05,HOU,@,POR,L,101,110,112.2,122.2,90.0,.143,.452,.566,46.0,33.3,6.7,7.6,,.542,11.8,25.0,.119,,8.1,63.8,.160
39,2019-01-07,HOU,,DEN,W,125,113,125.8,113.7,99.4,.447,.618,.687,42.5,73.7,8.0,4.7,,.645,14.2,11.1,.355,,12.0,68.2,.194
40,2019-01-09,HOU,,MIL,L,109,116,107.7,114.6,101.2,.376,.565,.550,48.4,59.4,4.0,10.9,,.482,15.4,26.4,.318,,11.3,76.2,.220
41,2019-01-11,HOU,,CLE,W,141,113,132.5,106.1,106.5,.360,.584,.684,53.6,60.9,7.5,16.1,,.629,12.7,19.5,.326,,11.5,86.0,.270
42,2019-01-13,HOU,@,ORL,L,109,116,115.2,122.6,94.6,.314,.488,.557,45.8,52.6,7.4,1.6,,.500,9.3,21.4,.267,,10.2,70.7,.294
43,2019-01-14,HOU,,MEM,W,112,94,116.6,97.8,96.1,.262,.571,.598,45.6,45.9,12.5,6.1,,.548,12.2,17.1,.238,,22.9,76.3,.169
44,2019-01-16,HOU,,BRK,L,142,145,125.1,127.7,102.8,.324,.667,.592,45.2,40.0,6.2,11.1,,.538,6.3,19.6,.276,,9.9,69.8,.157
45,2019-01-19,HOU,,LAL,W,138,134,125.5,121.9,99.6,.360,.680,.596,41.1,54.8,8.2,6.8,,.545,9.4,21.8,.290,,12.1,67.5,.250
46,2019-01-21,HOU,@,PHI,L,93,121,91.1,118.5,102.1,.302,.488,.477,40.9,45.2,8.8,9.2,,.424,11.0,11.8,.233,,11.3,76.2,.307
47,2019-01-23,HOU,@,NYK,W,114,110,114.0,110.0,100.0,.422,.489,.534,47.8,27.0,15.0,19.6,,.472,10.1,28.3,.322,,16.0,74.4,.309
48,2019-01-25,HOU,,TOR,W,121,119,118.2,116.3,102.3,.363,.505,.573,46.0,41.5,10.7,9.1,,.505,10.2,25.5,.319,,16.1,70.0,.187
49,2019-01-27,HOU,,ORL,W,103,98,106.1,100.9,97.1,.263,.450,.577,41.1,52.6,8.2,11.3,,.550,12.7,7.3,.188,,11.1,66.7,.103
50,2019-01-29,HOU,,NOP,L,116,121,111.4,116.2,104.1,.238,.554,.520,45.0,55.0,10.6,8.5,,.490,9.7,26.3,.168,,14.4,69.8,.222
51,2019-02-01,HOU,@,DEN,L,122,136,136.7,152.4,89.2,.247,.518,.647,45.5,51.1,6.7,5.9,,.624,9.6,29.7,.188,,8.0,65.5,.244
52,2019-02-02,HOU,@,UTA,W,125,98,117.9,92.5,106.0,.425,.448,.605,48.5,42.5,14.2,17.8,,.546,11.9,17.8,.345,,16.4,74.1,.291
53,2019-02-04,HOU,@,PHO,W,118,110,121.6,113.4,97.0,.287,.471,.602,53.1,44.2,13.4,3.4,,.569,10.9,29.3,.218,,15.6,77.5,.155
54,2019-02-06,HOU,@,SAC,W,127,101,126.9,100.9,100.1,.180,.510,.588,43.8,37.8,13.0,12.1,,.550,9.2,27.7,.170,,18.1,59.2,.132
55,2019-02-09,HOU,,OKC,L,112,117,107.7,112.5,104.0,.349,.523,.565,42.4,48.6,9.6,12.7,,.523,10.8,14.6,.256,,15.7,72.7,.270
56,2019-02-11,HOU,,DAL,W,120,104,125.6,108.8,95.6,.167,.667,.621,53.5,66.7,13.6,13.5,,.594,8.5,23.1,.144,,17.5,90.6,.288
57,2019-02-13,HOU,@,MIN,L,111,121,119.1,129.8,93.2,.133,.541,.535,44.0,57.5,5.4,2.9,,.505,8.0,27.7,.122,,9.3,64.9,.144
58,2019-02-21,HOU,@,LAL,L,106,111,102.9,107.7,103.0,.170,.466,.560,44.3,45.0,7.8,8.9,,.523,12.9,9.8,.159,,14.5,74.5,.314
59,2019-02-23,HOU,@,GSW,W,118,112,114.2,108.4,103.3,.261,.467,.575,52.1,65.0,12.6,13.0,,.522,12.0,25.0,.239,,14.7,80.4,.156
