G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,IND,,NYK,W,121,107,114.2,101.0,106.0,.309,.362,.567,55.6,60.9,5.7,15.8,,.532,10.9,22.2,.223,,14.4,88.9,.200
2,2020-12-26,IND,@,CHI,W,125,106,117.9,100.0,106.0,.204,.280,.617,54.4,65.4,14.2,7.7,,.608,13.6,24.3,.129,,16.4,75.5,.242
3,2020-12-27,IND,,BOS,W,108,107,107.6,106.6,100.3,.170,.295,.571,48.1,51.1,11.0,12.5,,.551,14.5,19.0,.125,,16.7,82.9,.228
4,2020-12-29,IND,,BOS,L,111,116,113.0,118.1,98.3,.190,.393,.610,45.6,62.8,9.2,8.6,,.583,13.3,11.4,.155,,12.7,72.7,.338
5,2020-12-31,IND,,CLE,W,119,99,120.1,99.9,99.1,.276,.402,.610,50.6,66.7,12.1,1.7,,.575,12.5,22.0,.218,,16.3,76.1,.159
6,2021-01-02,IND,,NYK,L,102,106,110.4,114.8,92.4,.214,.595,.555,38.6,64.7,6.5,7.1,,.518,8.0,10.9,.179,,14.5,73.0,.120
7,2021-01-04,IND,@,NOP,W,118,116,108.9,107.0,98.2,.140,.484,.598,42.4,71.1,9.2,10.8,,.586,12.4,10.9,.097,,13.9,69.8,.188
8,2021-01-06,IND,,HOU,W,114,107,113.4,106.5,100.5,.292,.258,.568,49.4,50.0,10.0,17.6,,.522,8.2,17.1,.236,,14.8,86.1,.259
9,2021-01-09,IND,,PHO,L,117,125,119.4,127.6,98.0,.261,.315,.570,56.5,52.3,2.0,7.5,,.543,8.9,26.5,.185,,1.9,90.7,.181
10,2021-01-11,IND,@,SAC,L,122,127,117.4,122.2,103.9,.186,.402,.581,45.7,55.3,13.5,5.8,,.552,10.3,21.3,.155,,16.1,79.4,.214
11,2021-01-12,IND,@,GSW,W,104,95,103.2,94.2,100.8,.284,.318,.525,52.1,66.7,8.9,17.6,,.494,12.4,21.7,.193,,13.2,80.0,.157
12,2021-01-14,IND,@,POR,W,111,87,118.0,92.5,94.1,.196,.326,.555,53.8,65.9,11.7,11.4,,.527,10.7,31.0,.152,,16.5,72.5,.115
13,2021-01-17,IND,@,LAC,L,96,129,93.6,125.8,102.6,.180,.427,.500,38.8,75.7,12.7,4.2,,.478,14.3,12.2,.124,,14.3,75.0,.161
14,2021-01-20,IND,,DAL,L,112,124,111.0,122.9,100.9,.228,.424,.553,43.7,51.2,5.9,4.3,,.533,9.0,16.7,.152,,7.1,76.9,.144
15,2021-01-22,IND,,ORL,W,120,118,117.5,115.6,92.5,.194,.366,.595,47.3,60.9,8.8,8.8,,.559,9.0,18.2,.172,,11.8,73.5,.160
