G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-22,LAC,@,LAL,W,116,109,112.1,105.3,103.5,.204,.430,.572,47.1,50.0,9.7,5.8,,.548,13.6,22.9,.151,,16.7,78.4,.296
2,2020-12-25,LAC,@,DEN,W,121,108,130.3,116.3,92.8,.324,.514,.715,54.3,78.0,9.7,8.9,,.682,17.6,29.0,.270,,12.1,74.4,.284
3,2020-12-27,LAC,,DAL,L,73,124,80.3,136.3,90.9,.263,.434,.430,40.0,50.0,2.2,4.3,,.368,12.4,10.4,.224,,5.7,73.8,.276
4,2020-12-29,LAC,,MIN,W,124,101,126.4,103.0,98.1,.182,.352,.652,54.1,68.1,6.1,19.6,,.625,12.0,20.0,.159,,12.7,78.0,.157
5,2020-12-30,LAC,,POR,W,128,105,126.3,103.6,101.3,.232,.400,.611,53.4,63.8,12.8,15.8,,.589,8.7,23.4,.168,,15.7,87.8,.382
6,2021-01-01,LAC,@,UTA,L,100,106,111.0,117.7,90.1,.282,.388,.523,48.3,57.6,6.7,17.0,,.465,7.7,26.7,.247,,12.0,70.5,.101
7,2021-01-03,LAC,@,PHO,W,112,107,122.5,117.0,91.5,.229,.349,.613,48.1,60.0,5.5,4.8,,.584,9.9,19.5,.181,,13.0,80.6,.307
8,2021-01-05,LAC,,SAS,L,113,116,116.5,119.6,97.0,.151,.407,.616,50.6,67.4,6.2,12.5,,.587,12.4,17.5,.140,,9.0,77.6,.083
9,2021-01-06,LAC,@,GSW,W,108,101,112.1,104.9,96.3,.309,.420,.587,57.8,52.8,6.2,5.4,,.512,17.1,30.8,.309,,12.1,81.8,.174
10,2021-01-08,LAC,@,GSW,L,105,115,112.1,122.8,93.7,.157,.373,.592,49.3,57.5,6.4,12.2,,.566,16.9,25.6,.133,,14.3,75.0,.183
11,2021-01-10,LAC,,CHI,W,130,127,129.2,126.2,100.6,.272,.413,.631,47.9,62.2,12.9,11.4,,.598,8.8,25.5,.217,,20.7,88.5,.195
12,2021-01-13,LAC,,NOP,W,111,106,122.1,116.6,90.9,.365,.500,.646,42.9,74.3,4.4,10.0,,.595,10.4,7.7,.311,,8.7,73.3,.136
13,2021-01-15,LAC,@,SAC,W,138,100,146.5,106.2,94.2,.225,.393,.706,59.5,55.8,10.6,5.1,,.685,8.4,34.3,.180,,13.1,79.5,.141
14,2021-01-17,LAC,,IND,W,129,96,125.8,93.6,102.6,.230,.448,.673,61.2,56.3,3.9,5.9,,.661,14.3,25.0,.161,,14.3,87.8,.124
15,2021-01-20,LAC,,SAC,W,115,96,111.3,92.9,103.3,.209,.407,.612,55.2,58.5,13.6,10.3,,.570,14.6,14.6,.198,,16.5,91.3,.058
16,2021-01-22,LAC,,OKC,W,120,106,123.7,109.3,97.0,.298,.393,.632,62.3,48.8,8.2,15.6,,.571,12.0,26.5,.286,,10.6,90.7,.115
17,2021-01-24,LAC,,OKC,W,108,100,110.1,102.0,98.1,.174,.500,.545,47.4,63.4,4.1,3.3,,.522,9.2,17.0,.130,,9.0,76.0,.095
18,2021-01-26,LAC,@,ATL,L,99,108,104.7,114.2,94.6,.247,.292,.502,50.0,63.9,11.6,7.4,,.449,10.8,26.0,.213,,13.3,78.6,.300
19,2021-01-28,LAC,@,MIA,W,109,105,112.3,108.2,97.0,.253,.483,.564,55.0,61.1,11.3,7.0,,.511,11.0,26.0,.230,,11.9,84.0,.133
20,2021-01-29,LAC,@,ORL,W,116,90,116.9,90.7,99.2,.117,.394,.587,50.0,54.3,8.1,8.9,,.559,10.0,19.6,.117,,14.9,76.9,.180
21,2021-01-31,LAC,@,NYK,W,129,115,141.4,126.0,91.3,.346,.469,.691,51.4,59.1,2.2,6.9,,.648,7.0,21.2,.296,,6.7,75.6,.271
22,2021-02-02,LAC,@,BRK,L,120,124,120.1,124.1,99.9,.172,.364,.563,47.0,46.7,12.0,10.4,,.530,7.0,22.4,.152,,15.0,82.4,.266
23,2021-02-03,LAC,@,CLE,W,121,99,130.4,106.7,92.8,.215,.430,.700,55.4,50.0,4.3,7.3,,.684,13.9,23.5,.165,,7.4,77.6,.141
24,2021-02-05,LAC,,BOS,L,115,119,122.3,126.6,94.0,.259,.395,.637,58.0,61.9,5.3,7.7,,.605,15.1,28.6,.210,,5.7,80.4,.189
25,2021-02-07,LAC,,SAC,L,110,113,110.0,113.0,100.0,.232,.283,.504,50.5,46.3,8.0,7.7,,.455,7.6,28.1,.202,,10.7,77.1,.117
26,2021-02-10,LAC,@,MIN,W,119,112,121.4,114.3,98.0,.354,.280,.628,52.7,56.1,9.2,7.4,,.573,13.7,28.9,.305,,12.7,69.8,.158
27,2021-02-12,LAC,@,CHI,W,125,106,130.6,110.7,95.7,.174,.349,.675,47.4,40.0,11.5,13.2,,.657,8.9,10.8,.140,,12.4,80.5,.165
28,2021-02-14,LAC,,CLE,W,128,111,126.0,109.3,101.6,.409,.341,.616,54.0,73.8,7.9,7.4,,.551,8.8,29.3,.352,,12.6,76.1,.194
29,2021-02-15,LAC,,MIA,W,125,118,128.5,121.3,97.3,.235,.376,.666,50.0,66.0,5.1,0.0,,.641,11.3,18.9,.188,,7.4,78.0,.198
30,2021-02-17,LAC,,UTA,L,96,114,96.5,114.6,99.5,.198,.302,.513,47.0,47.4,5.0,3.4,,.494,14.6,20.0,.128,,10.9,69.1,.173
31,2021-02-19,LAC,,UTA,W,116,112,120.0,115.8,96.7,.247,.337,.588,54.2,51.2,5.2,7.7,,.539,10.0,25.6,.225,,9.5,85.0,.209
32,2021-02-21,LAC,,BRK,L,108,112,114.6,118.9,94.2,.207,.402,.569,56.5,60.0,3.2,7.4,,.546,14.4,34.0,.149,,5.6,80.0,.141
33,2021-02-23,LAC,,WAS,W,135,116,133.2,114.5,101.3,.138,.404,.677,56.1,48.1,6.9,7.4,,.676,9.1,18.9,.085,,12.0,86.7,.125
34,2021-02-25,LAC,@,MEM,L,94,122,97.8,127.0,96.1,.190,.405,.516,46.1,55.9,4.2,5.5,,.476,13.3,16.3,.167,,5.7,82.5,.120
35,2021-02-26,LAC,@,MEM,W,119,99,117.7,97.9,101.1,.225,.438,.677,56.0,77.3,5.9,11.6,,.638,16.2,12.1,.213,,8.0,84.3,.124
36,2021-02-28,LAC,@,MIL,L,100,105,106.1,111.4,94.2,.072,.454,.500,50.5,50.0,7.4,6.4,,.485,7.4,24.5,.062,,10.4,81.8,.200
37,2021-03-02,LAC,@,BOS,L,112,117,128.9,134.6,86.9,.103,.437,.616,44.9,65.1,3.5,9.3,,.598,9.0,25.6,.092,,7.7,64.1,.198
38,2021-03-04,LAC,@,WAS,L,117,119,117.3,119.3,99.8,.329,.427,.623,52.3,63.2,4.0,6.2,,.561,15.3,25.0,.305,,7.8,76.1,.341
39,2021-03-11,LAC,,GSW,W,130,104,120.5,96.4,107.9,.302,.427,.598,56.0,52.3,9.3,11.5,,.552,9.2,22.0,.250,,13.8,90.0,.216
