G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,MEM,,SAS,L,119,131,110.5,121.6,107.7,.189,.284,.578,46.7,55.1,5.6,11.4,,.568,9.7,11.1,.116,,8.5,82.2,.263
2,2020-12-26,MEM,,ATL,L,112,122,107.3,116.8,104.4,.312,.462,.530,46.0,54.1,4.8,11.3,,.468,8.6,18.0,.269,,12.4,74.0,.371
3,2020-12-28,MEM,@,BRK,W,116,111,106.0,101.5,99.1,.296,.296,.524,52.8,47.6,9.1,6.9,,.480,14.6,30.2,.224,,13.7,75.5,.150
4,2020-12-30,MEM,@,BOS,L,107,126,102.1,120.2,104.8,.269,.355,.514,52.3,65.0,7.6,5.8,,.478,17.5,30.4,.194,,14.1,76.2,.132
5,2021-01-01,MEM,@,CHO,W,108,93,109.1,93.9,99.0,.111,.433,.572,53.3,79.1,10.1,10.9,,.556,13.7,23.8,.089,,15.9,79.2,.163
6,2021-01-03,MEM,,LAL,L,94,108,100.8,115.8,93.3,.084,.347,.477,50.5,59.0,6.4,5.6,,.458,10.0,27.5,.074,,9.3,75.0,.157
7,2021-01-05,MEM,,LAL,L,92,94,93.6,95.6,98.3,.149,.299,.496,42.2,66.7,14.2,7.1,,.471,12.3,10.4,.115,,15.6,78.6,.103
8,2021-01-07,MEM,,CLE,L,90,94,97.9,102.3,91.9,.096,.373,.520,56.5,75.0,14.1,12.2,,.500,17.2,26.8,.084,,14.8,84.1,.114
9,2021-01-08,MEM,,BRK,W,115,110,111.4,106.5,103.3,.143,.327,.552,52.3,64.4,13.6,12.0,,.526,10.3,24.0,.122,,18.1,89.5,.247
10,2021-01-11,MEM,@,CLE,W,101,91,108.0,97.3,93.6,.269,.256,.579,50.0,80.0,10.7,10.7,,.545,14.7,18.9,.205,,16.2,76.7,.073
11,2021-01-13,MEM,@,MIN,W,118,107,118.9,107.8,99.3,.123,.236,.528,49.5,66.0,11.1,9.4,,.509,5.9,28.8,.094,,10.7,74.4,.222
12,2021-01-16,MEM,,PHI,W,106,104,102.7,100.7,103.2,.182,.293,.496,44.8,62.8,14.5,5.1,,.475,9.3,22.4,.121,,18.3,68.1,.274
13,2021-01-18,MEM,,PHO,W,108,104,111.2,107.1,97.1,.241,.313,.588,47.6,75.6,13.4,5.8,,.560,14.0,22.0,.181,,15.9,72.1,.102
14,2021-01-30,MEM,@,SAS,W,129,112,130.3,113.2,99.0,.165,.385,.661,54.2,66.7,7.1,13.0,,.654,12.5,25.0,.110,,12.1,81.4,.253
15,2021-02-01,MEM,@,SAS,W,133,102,133.0,102.0,100.0,.194,.323,.659,55.8,71.2,11.0,21.2,,.640,8.2,23.8,.151,,12.4,81.1,.169
16,2021-02-02,MEM,@,IND,L,116,134,111.3,128.6,104.2,.258,.269,.560,46.2,64.3,10.6,13.2,,.500,13.4,23.3,.247,,16.0,74.3,.244
17,2021-02-04,MEM,,HOU,L,103,115,105.6,117.9,97.5,.276,.402,.528,49.4,75.7,10.3,14.3,,.494,11.8,23.4,.195,,12.9,80.0,.161
18,2021-02-06,MEM,@,NOP,L,109,118,116.4,126.0,93.7,.211,.433,.554,51.7,67.5,5.3,9.3,,.517,8.4,24.4,.178,,6.8,81.0,.149
19,2021-02-08,MEM,,TOR,L,113,128,121.8,138.0,92.8,.333,.448,.566,53.2,73.0,7.5,10.0,,.500,13.1,38.8,.299,,13.7,76.7,.312
20,2021-02-10,MEM,,CHO,W,130,114,135.3,118.6,96.1,.191,.521,.638,56.8,72.3,10.4,3.8,,.622,13.6,41.3,.138,,17.1,77.1,.122
21,2021-02-12,MEM,@,LAL,L,105,115,105.2,115.2,99.8,.238,.363,.594,41.3,79.5,9.0,3.6,,.563,16.1,15.0,.188,,15.3,67.5,.271
22,2021-02-14,MEM,@,SAC,W,124,110,122.2,108.4,101.5,.202,.223,.606,56.6,62.0,9.9,4.1,,.580,8.9,24.3,.160,,14.6,87.2,.244
23,2021-02-16,MEM,,NOP,L,113,144,108.1,137.8,104.5,.205,.352,.589,40.5,54.8,9.6,0.0,,.551,16.5,20.0,.182,,16.2,67.6,.143
24,2021-02-17,MEM,,OKC,W,122,113,121.2,112.3,100.7,.398,.313,.626,53.0,73.8,13.9,10.8,,.578,11.0,17.5,.313,,16.6,86.0,.308
25,2021-02-19,MEM,,DET,W,109,95,112.7,98.3,96.7,.256,.222,.544,52.1,47.6,12.4,9.8,,.494,9.9,28.9,.222,,18.6,73.5,.105
26,2021-02-20,MEM,,PHO,L,97,128,102.1,134.7,95.0,.247,.355,.470,54.4,52.8,5.3,10.0,,.414,10.4,32.1,.215,,9.8,86.5,.140
27,2021-02-22,MEM,@,DAL,L,92,102,91.3,101.2,100.7,.202,.330,.449,51.0,45.9,6.9,2.6,,.426,11.3,22.8,.128,,14.9,88.4,.213
28,2021-02-25,MEM,,LAC,W,122,94,127.0,97.8,96.1,.174,.207,.616,53.9,54.0,7.3,2.0,,.603,5.7,17.5,.120,,13.3,83.7,.167
29,2021-02-26,MEM,,LAC,L,99,119,97.9,117.7,101.1,.165,.289,.476,44.0,61.5,9.9,8.9,,.448,8.0,15.7,.124,,16.2,87.9,.213
30,2021-02-28,MEM,@,HOU,W,133,84,122.0,77.0,109.0,.298,.319,.625,59.6,54.0,14.7,7.9,,.585,14.5,29.7,.245,,18.5,78.9,.410
