G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,MIA,@,ORL,L,109,116,103.6,110.3,105.2,.168,.297,.502,46.8,61.4,5.7,5.8,,.475,10.7,22.0,.129,,12.0,75.0,.244
2,2017-10-21,MIA,,IND,W,112,108,112.2,108.1,99.9,.161,.391,.601,50.0,53.3,6.0,14.3,,.598,13.1,15.8,.092,,8.7,75.0,.156
3,2017-10-23,MIA,,ATL,W,104,93,105.8,94.6,98.3,.212,.435,.560,50.0,53.8,12.2,10.2,,.541,17.0,22.2,.141,,19.2,83.8,.184
4,2017-10-25,MIA,,SAS,L,100,117,108.4,126.8,92.3,.225,.325,.569,42.1,51.4,6.5,3.4,,.519,9.3,10.0,.213,,12.7,77.8,.303
5,2017-10-28,MIA,,BOS,L,90,96,96.0,102.4,93.7,.203,.392,.523,49.4,50.0,6.4,15.5,,.475,18.1,16.7,.190,,11.5,75.6,.272
6,2017-10-30,MIA,,MIN,L,122,125,110.7,113.4,99.8,.269,.290,.587,55.6,34.7,7.3,7.4,,.565,18.8,33.3,.183,,13.1,77.8,.352
7,2017-11-01,MIA,,CHI,W,97,91,97.3,91.3,99.7,.229,.373,.531,47.1,61.8,8.0,0.0,,.482,10.7,6.0,.205,,11.0,86.5,.135
8,2017-11-03,MIA,@,DEN,L,94,95,99.8,100.9,94.2,.143,.481,.574,50.0,63.9,9.6,10.5,,.565,21.9,22.2,.091,,15.7,71.7,.175
9,2017-11-05,MIA,@,LAC,W,104,101,111.3,108.1,93.5,.226,.429,.563,42.5,62.2,12.8,10.7,,.524,14.8,23.8,.190,,13.0,60.0,.276
10,2017-11-06,MIA,@,GSW,L,80,97,81.5,98.8,98.1,.205,.313,.442,46.3,63.3,10.2,10.9,,.410,18.1,15.6,.145,,12.5,74.0,.253
11,2017-11-08,MIA,@,PHO,W,126,115,124.7,113.8,101.1,.432,.370,.654,60.9,48.8,4.9,6.8,,.605,12.7,28.2,.346,,9.8,87.5,.261
12,2017-11-10,MIA,@,UTA,W,84,74,88.3,77.8,95.1,.234,.325,.495,54.5,33.3,9.5,11.3,,.455,18.3,16.3,.182,,16.9,91.1,.257
13,2017-11-12,MIA,@,DET,L,103,112,106.5,115.8,96.7,.178,.411,.531,41.9,64.1,8.3,8.5,,.506,8.5,14.0,.133,,11.9,74.4,.161
14,2017-11-15,MIA,,WAS,L,93,102,104.9,115.0,88.7,.244,.385,.538,51.2,46.9,3.4,5.1,,.494,16.4,29.3,.205,,11.6,73.2,.372
15,2017-11-17,MIA,@,WAS,W,91,88,96.3,93.1,94.5,.217,.422,.500,53.1,61.8,6.4,14.3,,.470,14.2,20.4,.157,,11.6,85.7,.167
16,2017-11-19,MIA,,IND,L,95,120,104.8,132.4,90.6,.169,.446,.533,45.5,60.0,8.8,3.2,,.500,13.6,23.3,.145,,11.9,73.5,.082
17,2017-11-22,MIA,,BOS,W,104,98,107.6,101.4,96.6,.198,.346,.591,56.5,50.0,3.1,6.9,,.556,15.4,18.9,.173,,10.3,85.4,.226
18,2017-11-24,MIA,@,MIN,W,109,97,121.5,108.1,89.7,.200,.488,.626,48.8,76.3,4.5,6.0,,.594,13.0,22.5,.175,,9.5,71.7,.190
19,2017-11-26,MIA,@,CHI,W,100,93,102.4,95.2,97.7,.307,.427,.587,48.9,55.9,9.2,8.9,,.540,12.4,2.4,.253,,11.9,86.3,.146
20,2017-11-28,MIA,@,CLE,L,97,108,98.9,110.1,98.1,.238,.369,.523,48.3,64.9,7.1,10.4,,.500,13.9,16.7,.155,,12.5,87.2,.210
21,2017-11-29,MIA,@,NYK,L,86,115,89.3,119.4,96.3,.238,.452,.463,37.3,65.6,13.5,6.7,,.440,13.9,17.0,.143,,19.1,73.3,.301
22,2017-12-01,MIA,,CHO,W,105,100,106.2,101.2,98.9,.263,.438,.588,49.4,64.1,8.1,6.8,,.575,19.0,23.1,.163,,20.0,75.0,.241
23,2017-12-03,MIA,,GSW,L,95,123,102.4,132.6,92.8,.210,.457,.537,40.6,51.5,5.4,7.4,,.494,11.1,12.8,.185,,8.7,76.7,.214
24,2017-12-06,MIA,@,SAS,L,105,117,117.9,131.4,89.0,.167,.472,.679,46.0,71.8,7.9,6.5,,.667,18.9,20.0,.125,,10.6,69.7,.138
25,2017-12-09,MIA,@,BRK,W,101,89,110.8,97.6,91.2,.156,.300,.525,50.6,35.7,6.6,14.8,,.511,4.9,18.6,.100,,11.8,81.8,.198
26,2017-12-11,MIA,@,MEM,W,107,82,121.7,93.3,87.9,.364,.409,.699,53.0,64.9,9.1,17.8,,.667,14.5,7.4,.288,,14.3,84.6,.250
27,2017-12-13,MIA,,POR,L,95,102,110.8,119.0,85.7,.319,.417,.578,52.2,55.9,7.0,2.3,,.563,15.4,26.3,.194,,11.8,83.9,.278
28,2017-12-15,MIA,@,CHO,W,104,98,108.2,101.9,96.1,.218,.397,.608,48.8,64.1,10.4,14.3,,.571,15.8,13.9,.192,,14.4,76.1,.241
29,2017-12-16,MIA,,LAC,W,90,85,102.8,97.1,87.6,.256,.427,.493,44.6,71.0,11.4,15.4,,.451,8.1,20.9,.195,,16.5,70.0,.088
30,2017-12-18,MIA,@,ATL,L,104,110,105.8,112.0,98.3,.380,.316,.564,51.9,52.8,9.2,9.8,,.500,17.1,21.6,.316,,11.0,77.3,.313
31,2017-12-20,MIA,@,BOS,W,90,89,98.1,97.0,91.7,.333,.373,.523,51.1,69.7,6.5,6.3,,.507,12.2,13.3,.187,,10.1,88.9,.200
32,2017-12-22,MIA,,DAL,W,113,101,135.4,121.1,83.4,.083,.347,.757,61.4,54.3,3.6,7.5,,.750,12.8,9.5,.069,,9.1,91.7,.107
33,2017-12-23,MIA,,NOP,L,94,109,106.8,123.8,88.0,.176,.376,.513,50.7,50.0,4.5,6.3,,.482,12.4,29.5,.141,,14.7,80.6,.219
34,2017-12-26,MIA,,ORL,W,107,89,112.1,93.3,95.4,.187,.363,.543,55.8,53.7,11.5,8.2,,.511,13.2,33.3,.154,,15.8,78.7,.222
35,2017-12-29,MIA,,BRK,L,87,111,88.1,112.4,98.8,.348,.292,.424,44.3,40.0,9.1,5.7,,.354,9.7,20.7,.270,,16.7,79.5,.278
36,2017-12-30,MIA,@,ORL,W,117,111,130.1,123.4,89.9,.205,.273,.610,51.9,53.3,6.7,3.7,,.580,7.7,28.2,.170,,12.0,76.3,.136
37,2018-01-03,MIA,,DET,W,111,104,118.5,111.0,93.7,.131,.405,.625,53.9,67.4,6.4,4.8,,.613,11.9,18.9,.095,,8.8,87.2,.151
38,2018-01-05,MIA,,NYK,W,107,103,109.6,105.5,88.4,.213,.447,.520,53.0,63.2,10.2,7.5,,.468,12.0,32.6,.202,,17.4,78.4,.250
39,2018-01-07,MIA,,UTA,W,103,102,113.7,112.6,90.6,.241,.349,.561,45.7,52.5,6.6,12.0,,.536,8.0,18.2,.169,,10.8,78.4,.220
40,2018-01-09,MIA,@,TOR,W,90,89,98.8,97.7,91.0,.103,.227,.444,63.4,46.2,2.2,20.3,,.423,11.4,40.0,.082,,4.9,86.3,.133
