G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,MIN,,DET,W,111,101,112.7,102.6,98.5,.318,.466,.553,52.2,65.8,6.1,8.6,,.494,9.9,24.5,.273,,11.1,83.7,.032
2,2020-12-26,MIN,@,UTA,W,116,111,113.4,108.5,102.3,.178,.287,.533,41.2,46.7,8.8,8.3,,.510,7.6,24.0,.129,,14.0,59.6,.309
3,2020-12-27,MIN,@,LAL,L,91,127,85.3,119.0,106.7,.136,.340,.417,51.1,63.2,10.3,10.9,,.398,13.5,29.3,.087,,14.8,86.1,.156
4,2020-12-29,MIN,@,LAC,L,101,124,103.0,126.4,98.1,.191,.427,.523,45.9,59.5,7.1,10.5,,.489,12.7,22.0,.157,,12.0,80.0,.159
5,2021-01-01,MIN,,WAS,L,109,130,104.1,124.1,104.7,.239,.409,.560,50.0,40.5,8.6,5.4,,.551,17.1,23.9,.136,,14.0,80.0,.180
6,2021-01-03,MIN,,DEN,L,109,124,112.2,127.6,97.2,.188,.365,.592,45.6,68.2,11.3,12.8,,.576,13.2,23.1,.129,,12.9,67.5,.163
7,2021-01-05,MIN,@,DEN,L,116,123,113.4,120.2,102.3,.297,.374,.564,50.0,57.1,7.8,7.4,,.522,12.0,23.8,.231,,12.4,76.2,.418
8,2021-01-07,MIN,@,POR,L,117,135,109.7,126.6,106.6,.355,.441,.544,52.2,61.5,10.3,8.2,,.495,13.0,28.3,.269,,13.0,84.6,.211
9,2021-01-09,MIN,,SAS,L,122,125,115.2,118.0,95.9,.177,.313,.589,52.5,60.4,0.9,10.1,,.578,13.4,23.4,.115,,5.0,77.8,.238
10,2021-01-10,MIN,,SAS,W,96,88,100.0,91.7,96.0,.284,.321,.527,53.6,55.9,6.2,4.7,,.475,12.5,20.0,.235,,9.1,82.7,.085
11,2021-01-13,MIN,,MEM,L,107,118,107.8,118.9,99.3,.267,.411,.532,50.5,69.2,3.0,7.4,,.483,10.7,25.6,.222,,5.9,71.2,.094
12,2021-01-18,MIN,@,ATL,L,97,108,92.7,103.2,104.7,.176,.407,.495,44.8,61.1,15.3,11.8,,.473,15.5,18.0,.121,,21.1,81.1,.291
13,2021-01-20,MIN,,ORL,L,96,97,101.6,102.6,94.5,.165,.412,.527,47.3,69.4,5.3,19.7,,.512,12.5,18.6,.106,,9.8,72.9,.163
14,2021-01-22,MIN,,ATL,L,98,116,99.8,118.2,98.2,.129,.344,.499,42.1,75.0,14.3,16.7,,.473,11.7,19.2,.108,,14.3,69.8,.301
15,2021-01-23,MIN,,NOP,W,120,110,115.9,106.2,103.6,.407,.374,.559,54.3,59.0,13.5,7.4,,.495,9.3,30.4,.330,,16.8,78.3,.230
16,2021-01-25,MIN,@,GSW,L,108,130,105.3,126.8,102.5,.266,.255,.514,50.5,66.7,7.8,8.5,,.457,14.6,34.0,.234,,12.5,67.4,.315
17,2021-01-27,MIN,@,GSW,L,111,123,107.0,118.5,103.8,.379,.414,.547,45.9,62.2,11.6,13.7,,.506,14.3,23.9,.264,,18.1,71.8,.212
18,2021-01-29,MIN,,PHI,L,94,118,93.4,117.2,100.7,.220,.402,.523,42.7,57.1,3.0,5.6,,.488,16.7,9.3,.171,,8.8,73.9,.368
19,2021-01-31,MIN,,CLE,W,109,104,110.3,105.3,98.8,.165,.440,.558,38.2,58.5,10.1,16.2,,.538,7.6,13.5,.121,,16.8,73.0,.214
20,2021-02-01,MIN,@,CLE,L,98,100,104.7,106.8,93.6,.108,.373,.459,46.4,50.0,4.3,1.6,,.446,7.0,28.8,.069,,11.7,66.7,.274
21,2021-02-03,MIN,@,SAS,L,108,111,106.9,109.8,101.1,.117,.351,.546,52.1,51.2,5.9,12.9,,.527,9.2,19.1,.096,,6.2,85.1,.188
22,2021-02-05,MIN,@,OKC,W,106,103,106.3,103.3,99.7,.096,.426,.541,49.4,65.9,10.0,7.8,,.521,13.3,21.7,.085,,15.5,80.5,.141
23,2021-02-06,MIN,@,OKC,L,118,120,115.9,117.8,101.9,.237,.387,.575,48.2,57.4,11.8,5.3,,.570,11.2,27.1,.129,,13.2,77.1,.178
24,2021-02-08,MIN,@,DAL,L,122,127,118.5,123.4,102.9,.308,.462,.590,46.1,64.3,8.7,9.4,,.560,8.0,15.6,.220,,12.3,77.3,.287
25,2021-02-10,MIN,,LAC,L,112,119,114.3,121.4,98.0,.200,.432,.542,47.3,70.7,8.2,13.6,,.511,12.7,30.2,.158,,13.7,71.1,.305
26,2021-02-12,MIN,@,CHO,L,114,120,110.4,116.2,103.2,.141,.414,.542,42.1,62.2,9.7,7.4,,.535,7.1,17.3,.081,,16.9,72.1,.211
27,2021-02-14,MIN,@,TOR,W,116,112,114.2,110.3,101.5,.232,.476,.642,51.3,65.1,5.9,13.8,,.622,16.6,15.2,.171,,9.5,77.8,.286
28,2021-02-16,MIN,,LAL,L,104,112,106.7,114.9,97.5,.140,.366,.527,50.0,66.7,11.3,7.8,,.505,13.2,25.6,.108,,17.3,81.8,.221
29,2021-02-17,MIN,,IND,L,128,134,114.4,119.7,101.4,.234,.374,.542,46.3,82.2,10.7,11.3,,.491,8.5,21.2,.215,,11.4,76.7,.237
30,2021-02-19,MIN,,TOR,L,81,86,88.1,93.6,91.9,.133,.458,.461,45.7,75.0,6.5,20.0,,.440,12.9,14.3,.096,,13.7,71.2,.212
31,2021-02-21,MIN,@,NYK,L,99,103,103.1,107.3,96.0,.256,.427,.543,47.3,72.7,6.3,5.0,,.500,14.1,15.9,.207,,12.1,76.6,.397
32,2021-02-23,MIN,@,MIL,L,112,139,105.9,131.4,105.8,.092,.551,.549,45.3,83.3,3.8,8.8,,.526,12.1,14.0,.092,,7.0,80.0,.131
33,2021-02-24,MIN,@,CHI,L,126,133,111.8,118.0,102.1,.202,.365,.556,48.8,59.6,9.8,5.9,,.510,13.1,26.5,.192,,17.3,80.0,.140
34,2021-02-27,MIN,@,WAS,L,112,128,100.4,114.8,111.5,.305,.368,.520,46.7,56.1,8.1,15.4,,.489,14.3,22.2,.200,,12.4,71.7,.276
35,2021-02-28,MIN,,PHO,L,99,118,94.1,112.2,105.2,.258,.376,.478,48.4,60.0,11.4,6.5,,.419,12.7,20.4,.226,,13.8,81.0,.258
36,2021-03-03,MIN,,CHO,L,102,135,93.8,124.1,108.8,.188,.417,.491,45.5,64.1,10.1,3.4,,.453,15.5,22.6,.156,,13.7,71.7,.163
37,2021-03-11,MIN,@,NOP,W,135,105,129.6,100.8,104.2,.168,.421,.662,42.7,54.9,10.6,14.7,,.637,9.7,17.9,.147,,14.0,62.0,.130
38,2021-03-13,MIN,,POR,L,121,125,121.6,125.6,99.5,.360,.302,.607,62.2,52.3,5.0,14.3,,.570,15.3,41.3,.267,,7.3,84.1,.292
39,2021-03-14,MIN,,POR,W,114,112,117.5,115.5,97.0,.534,.521,.632,51.7,66.7,6.2,9.1,,.582,11.7,13.2,.397,,10.1,81.6,.191
40,2021-03-16,MIN,@,LAL,L,121,137,119.8,135.6,101.0,.244,.389,.607,44.2,59.6,8.9,9.8,,.583,10.7,19.5,.178,,11.6,72.2,.276
41,2021-03-18,MIN,@,PHO,W,123,119,116.5,112.7,105.6,.376,.366,.567,44.7,50.0,13.3,8.2,,.532,10.0,22.4,.258,,19.1,75.0,.165
42,2021-03-19,MIN,@,PHO,L,101,113,99.3,111.1,101.7,.228,.443,.581,49.4,59.5,7.9,10.2,,.551,17.9,12.8,.177,,16.1,85.0,.151
43,2021-03-22,MIN,,OKC,L,103,112,107.2,116.6,96.1,.196,.424,.515,47.2,63.2,11.4,8.0,,.489,10.7,22.4,.141,,13.3,77.5,.103
44,2021-03-24,MIN,,DAL,L,108,128,106.7,126.5,101.2,.302,.442,.554,41.1,63.2,5.9,3.6,,.512,11.0,13.3,.233,,8.4,68.9,.162
45,2021-03-26,MIN,,HOU,W,107,101,103.7,97.9,103.2,.233,.369,.471,51.5,76.9,11.6,7.0,,.427,7.3,25.9,.184,,17.0,83.7,.115
46,2021-03-27,MIN,,HOU,L,107,129,111.2,134.1,96.2,.329,.471,.550,49.4,72.2,8.3,11.3,,.500,10.2,24.4,.259,,10.9,75.0,.120
47,2021-03-29,MIN,@,BRK,L,107,112,103.6,108.5,103.2,.165,.427,.484,50.5,57.5,9.7,18.2,,.456,12.0,28.3,.126,,12.7,82.9,.259
48,2021-03-31,MIN,,NYK,W,102,101,106.5,105.5,95.8,.218,.460,.535,49.4,69.4,9.4,13.6,,.494,11.2,20.9,.184,,15.2,81.6,.146
49,2021-04-02,MIN,@,MEM,L,108,120,109.1,121.2,99.0,.271,.388,.568,42.4,55.3,6.1,10.7,,.518,10.4,11.4,.235,,8.6,70.8,.179
50,2021-04-03,MIN,@,PHI,L,113,122,116.9,126.2,96.6,.462,.462,.602,46.2,48.6,7.2,9.4,,.526,8.8,15.0,.397,,11.0,78.9,.346
51,2021-04-05,MIN,,SAC,W,116,106,115.8,105.8,100.2,.363,.352,.550,54.8,57.9,10.0,7.7,,.484,11.7,31.9,.308,,12.4,78.3,.216
52,2021-04-07,MIN,@,IND,L,137,141,130.4,134.2,105.1,.440,.308,.631,54.5,62.5,6.7,3.1,,.582,10.0,31.7,.341,,11.4,80.6,.183
53,2021-04-09,MIN,@,BOS,L,136,145,122.7,130.8,100.4,.313,.438,.623,45.1,63.8,12.6,0.0,,.568,11.4,20.0,.281,,16.4,75.7,.368
54,2021-04-11,MIN,,CHI,W,121,117,119.9,115.9,100.9,.309,.444,.658,48.6,67.5,6.9,11.1,,.593,13.2,9.1,.309,,11.7,80.5,.087
55,2021-04-13,MIN,,BRK,L,97,127,92.8,121.5,104.5,.379,.563,.478,43.6,53.3,12.4,21.8,,.420,12.1,19.3,.276,,15.1,75.0,.220
56,2021-04-14,MIN,,MIL,L,105,130,94.0,116.3,111.7,.337,.446,.497,47.5,64.7,11.6,12.1,,.451,13.2,18.2,.239,,12.9,84.1,.194
57,2021-04-16,MIN,,MIA,W,119,111,122.0,113.8,97.5,.358,.444,.635,57.7,71.4,8.2,4.3,,.611,15.3,27.8,.247,,13.3,83.3,.238
58,2021-04-18,MIN,@,LAC,L,105,124,104.9,123.8,100.1,.239,.511,.540,43.5,75.0,6.0,14.9,,.506,10.2,13.0,.182,,12.7,79.5,.146
59,2021-04-20,MIN,@,SAC,W,134,120,133.1,119.2,100.7,.211,.478,.681,56.2,66.7,5.0,16.4,,.667,15.5,31.6,.156,,8.8,74.5,.144
60,2021-04-21,MIN,@,SAC,L,125,128,130.7,133.9,95.6,.253,.391,.646,50.7,65.2,7.3,9.8,,.615,9.4,23.7,.207,,13.8,86.2,.338
61,2021-04-24,MIN,@,UTA,W,101,96,102.3,97.2,98.7,.217,.413,.501,51.1,37.5,13.2,5.7,,.484,11.4,23.4,.130,,18.4,80.0,.134
62,2021-04-26,MIN,,UTA,W,105,104,108.4,107.4,96.8,.253,.530,.569,49.5,78.4,7.2,10.5,,.542,14.8,19.5,.181,,9.6,71.4,.147
63,2021-04-27,MIN,@,HOU,W,114,107,109.8,103.1,103.8,.269,.409,.548,51.6,64.4,9.6,10.9,,.538,11.9,24.5,.151,,15.1,81.8,.186
64,2021-04-29,MIN,,GSW,W,126,114,126.7,114.6,99.5,.309,.436,.590,62.6,72.1,5.0,4.3,,.564,10.9,34.8,.213,,9.6,91.1,.176
65,2021-05-01,MIN,,NOP,L,136,140,114.6,117.9,107.5,.302,.453,.566,49.5,72.9,14.3,8.9,,.524,11.8,25.5,.236,,15.8,73.1,.348
66,2021-05-05,MIN,,MEM,L,135,139,127.8,131.5,105.7,.234,.415,.651,47.1,65.3,6.6,7.4,,.622,11.9,26.1,.191,,10.6,70.7,.216
67,2021-05-07,MIN,@,MIA,L,112,121,109.6,118.4,102.2,.353,.435,.570,52.6,65.9,6.8,7.3,,.541,14.0,23.7,.235,,12.4,80.0,.230
68,2021-05-09,MIN,@,ORL,W,128,96,124.9,93.6,102.5,.247,.464,.595,55.9,63.8,4.9,16.4,,.567,8.5,25.5,.186,,11.4,81.8,.165
69,2021-05-11,MIN,@,DET,W,119,100,110.2,92.6,108.0,.214,.490,.555,48.9,66.7,14.8,15.4,,.531,12.3,21.6,.153,,24.5,84.6,.267
70,2021-05-13,MIN,,DEN,L,103,114,106.7,118.1,96.5,.400,.513,.547,44.8,58.8,3.1,8.3,,.525,13.8,22.0,.238,,10.6,69.6,.104
71,2021-05-15,MIN,,BOS,L,108,124,106.3,122.0,101.6,.358,.389,.491,53.7,56.4,7.9,13.2,,.437,9.8,36.4,.263,,12.0,77.5,.147
72,2021-05-16,MIN,,DAL,W,136,121,138.3,123.0,98.4,.278,.444,.673,50.0,71.4,11.2,7.5,,.639,8.2,28.9,.233,,13.8,71.1,.187
