G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,NOP,@,TOR,W,113,99,108.6,95.2,104.0,.250,.525,.636,56.3,71.4,12.5,16.3,,.644,21.3,22.2,.125,,17.5,84.1,.101
2,2020-12-25,NOP,@,MIA,L,98,111,101.3,114.7,96.8,.423,.449,.530,53.9,58.1,8.3,5.3,,.462,17.0,26.2,.333,,16.6,88.2,.253
3,2020-12-27,NOP,,SAS,W,98,95,97.2,94.2,100.9,.309,.255,.459,54.4,41.7,10.9,7.5,,.410,7.0,23.2,.223,,14.0,91.5,.090
4,2020-12-29,NOP,@,PHO,L,86,111,95.1,122.8,90.4,.234,.312,.506,48.8,48.6,8.8,8.1,,.500,15.9,18.4,.117,,9.8,73.9,.214
5,2020-12-31,NOP,@,OKC,W,113,80,116.3,82.4,97.1,.209,.396,.569,59.2,52.3,9.3,12.5,,.555,11.6,29.8,.132,,18.0,86.3,.063
6,2021-01-02,NOP,,TOR,W,120,116,122.5,118.4,98.0,.566,.458,.579,55.6,74.3,6.1,16.3,,.506,10.4,31.8,.434,,8.0,78.3,.286
7,2021-01-04,NOP,,IND,L,116,118,107.0,108.9,98.2,.238,.267,.520,57.6,59.1,4.6,8.3,,.480,13.9,30.2,.188,,12.4,89.1,.097
8,2021-01-06,NOP,,OKC,L,110,111,106.7,107.6,103.1,.258,.247,.555,57.8,56.8,10.7,0.0,,.517,13.1,20.9,.202,,13.0,91.5,.138
9,2021-01-08,NOP,,CHO,L,110,118,117.1,125.6,94.0,.338,.494,.622,44.4,76.3,6.4,8.9,,.591,17.7,25.6,.247,,12.5,61.9,.230
10,2021-01-13,NOP,@,LAC,L,106,111,116.6,122.1,90.9,.182,.318,.558,57.1,42.9,4.4,10.8,,.534,8.7,26.7,.136,,10.4,92.3,.311
11,2021-01-15,NOP,@,LAL,L,95,112,99.0,116.8,95.9,.093,.337,.531,51.6,53.7,3.1,8.9,,.529,18.3,24.4,.047,,5.4,74.0,.204
12,2021-01-17,NOP,@,SAC,W,128,123,131.0,125.9,97.7,.400,.259,.640,59.3,53.3,5.1,1.9,,.594,11.5,35.9,.318,,9.2,81.0,.176
13,2021-01-19,NOP,@,UTA,L,102,118,106.5,123.2,95.8,.158,.274,.502,41.3,39.5,8.3,7.9,,.484,7.3,18.9,.105,,13.1,71.8,.129
14,2021-01-21,NOP,@,UTA,L,118,129,114.5,125.2,103.1,.353,.294,.601,51.3,64.3,8.7,4.1,,.559,14.8,24.4,.271,,13.2,79.5,.273
15,2021-01-23,NOP,@,MIN,L,110,120,106.2,115.9,103.6,.322,.379,.554,45.7,52.5,4.8,7.0,,.517,16.8,21.7,.230,,9.3,69.6,.330
16,2021-01-27,NOP,,WAS,W,124,106,125.9,107.6,98.5,.270,.483,.623,56.2,58.7,7.1,7.4,,.612,12.3,30.0,.169,,9.8,77.6,.207
17,2021-01-29,NOP,,MIL,W,131,126,127.2,122.4,103.0,.292,.500,.605,47.9,71.1,6.8,4.9,,.578,7.7,24.5,.208,,10.2,73.3,.177
18,2021-01-30,NOP,,HOU,L,112,126,105.8,119.1,105.8,.319,.451,.540,51.6,65.9,10.4,15.2,,.516,11.9,20.8,.198,,12.2,84.4,.174
19,2021-02-01,NOP,,SAC,L,109,118,106.9,115.7,102.0,.238,.297,.489,46.9,55.0,10.8,11.1,,.441,8.2,30.4,.198,,16.7,69.0,.227
20,2021-02-03,NOP,,PHO,W,123,101,134.3,110.2,91.6,.233,.367,.620,53.0,65.2,7.6,6.4,,.589,6.6,30.0,.189,,13.4,74.4,.207
21,2021-02-05,NOP,@,IND,W,114,113,118.4,117.3,96.3,.342,.329,.652,57.5,56.1,5.2,11.8,,.625,17.9,28.9,.250,,9.1,79.6,.118
22,2021-02-06,NOP,,MEM,W,118,109,126.0,116.4,93.7,.241,.379,.613,48.3,60.0,3.2,17.6,,.603,6.8,19.0,.149,,8.4,75.6,.178
23,2021-02-09,NOP,,HOU,W,130,101,135.1,105.0,96.2,.304,.337,.623,59.8,66.0,7.3,12.5,,.576,7.9,37.5,.261,,10.7,76.9,.132
24,2021-02-10,NOP,@,CHI,L,116,129,124.1,138.0,93.4,.321,.444,.627,50.0,65.9,11.8,2.9,,.586,11.5,24.3,.259,,15.7,78.8,.099
25,2021-02-12,NOP,@,DAL,L,130,143,133.4,146.7,97.5,.256,.411,.649,50.7,64.6,5.1,7.0,,.628,8.2,22.0,.189,,5.8,85.3,.182
26,2021-02-14,NOP,@,DET,L,112,123,122.7,134.8,91.3,.311,.389,.547,54.3,57.5,5.5,4.1,,.494,8.9,39.1,.256,,10.6,74.3,.190
27,2021-02-16,NOP,@,MEM,W,144,113,137.8,108.1,104.5,.187,.418,.731,59.5,58.9,13.4,7.0,,.720,16.2,32.4,.143,,16.5,80.0,.182
28,2021-02-17,NOP,,POR,L,124,126,131.6,133.7,94.2,.326,.360,.609,62.2,58.1,5.3,2.0,,.567,9.8,42.9,.258,,8.4,82.5,.178
29,2021-02-19,NOP,,PHO,L,114,132,114.4,132.5,99.6,.293,.390,.616,50.0,66.7,11.0,6.1,,.579,12.3,15.4,.232,,12.2,88.6,.091
30,2021-02-21,NOP,,BOS,W,120,115,110.9,106.3,98.0,.394,.383,.544,51.5,52.4,4.6,11.5,,.505,10.5,24.0,.266,,8.1,78.4,.276
31,2021-02-24,NOP,,DET,W,128,118,128.1,118.1,99.9,.322,.256,.623,54.2,62.0,10.0,11.3,,.611,10.5,29.3,.200,,11.9,78.6,.124
32,2021-02-25,NOP,@,MIL,L,125,129,121.9,125.9,102.5,.137,.382,.578,52.8,62.7,4.9,6.2,,.564,7.7,26.1,.098,,8.0,81.4,.125
33,2021-02-27,NOP,@,SAS,L,114,117,120.1,123.2,95.0,.341,.352,.545,57.8,67.5,3.2,3.7,,.489,8.7,36.2,.275,,7.5,81.4,.267
34,2021-03-01,NOP,,UTA,W,129,124,124.5,119.7,103.6,.250,.120,.632,57.6,51.9,4.8,8.6,,.603,11.3,26.3,.196,,6.8,79.6,.149
35,2021-03-03,NOP,,CHI,L,124,128,122.0,125.9,101.6,.458,.265,.622,43.8,63.0,9.8,9.1,,.590,9.9,17.9,.313,,11.9,68.3,.213
36,2021-03-04,NOP,,MIA,L,93,103,106.2,117.6,87.6,.238,.512,.501,51.8,84.8,5.7,7.0,,.458,11.5,29.4,.190,,10.6,85.3,.288
37,2021-03-11,NOP,,MIN,L,105,135,100.8,129.6,104.2,.240,.320,.475,57.3,65.1,6.7,10.9,,.460,14.0,38.0,.130,,9.7,82.1,.147
38,2021-03-12,NOP,,CLE,W,116,82,119.2,84.2,97.4,.188,.238,.530,68.0,53.2,2.1,12.5,,.495,10.6,40.4,.158,,5.8,91.1,.170
39,2021-03-14,NOP,,LAC,W,135,115,132.4,112.8,101.9,.259,.321,.748,55.6,71.7,7.8,2.0,,.728,16.6,14.8,.210,,10.7,80.0,.174
40,2021-03-16,NOP,@,POR,L,124,125,125.1,126.1,99.1,.227,.375,.640,56.2,82.6,8.1,10.0,,.614,14.2,26.3,.182,,16.4,88.6,.425
41,2021-03-18,NOP,@,POR,L,93,101,99.7,108.3,93.3,.301,.446,.495,46.8,72.7,6.4,11.4,,.458,11.3,21.7,.205,,11.7,70.8,.241
42,2021-03-21,NOP,@,DEN,W,113,108,117.4,112.2,96.2,.353,.329,.575,54.9,63.4,8.3,13.0,,.529,14.0,34.1,.271,,14.0,75.6,.091
43,2021-03-23,NOP,,LAL,W,128,111,125.6,108.9,101.9,.289,.322,.631,60.9,59.6,8.8,6.3,,.578,11.4,28.2,.267,,11.7,87.5,.247
44,2021-03-26,NOP,,DEN,L,108,113,119.4,125.0,90.4,.256,.372,.622,50.7,76.9,7.7,10.8,,.577,12.1,19.4,.231,,7.7,73.8,.054
45,2021-03-27,NOP,,DAL,W,112,103,126.0,115.9,88.9,.358,.321,.597,52.5,47.6,2.3,9.6,,.574,6.0,22.2,.235,,7.0,77.3,.229
46,2021-03-29,NOP,@,BOS,W,115,109,114.5,108.5,100.5,.366,.378,.604,50.5,73.2,8.0,4.0,,.598,12.8,19.0,.207,,12.1,76.5,.161
47,2021-04-01,NOP,,ORL,L,110,115,99.3,103.8,100.4,.204,.312,.543,53.4,63.4,6.3,8.6,,.505,19.1,25.0,.172,,7.9,78.2,.189
48,2021-04-02,NOP,,ATL,L,103,126,98.5,120.5,104.6,.261,.330,.525,44.7,57.9,6.7,10.3,,.477,13.3,12.2,.216,,13.5,82.9,.172
49,2021-04-04,NOP,@,HOU,W,122,115,115.8,109.2,105.4,.385,.407,.573,53.4,61.9,11.4,18.4,,.549,12.4,29.1,.242,,14.6,81.3,.191
50,2021-04-06,NOP,@,ATL,L,107,123,110.4,126.9,96.9,.308,.418,.518,53.8,64.9,7.2,12.3,,.473,11.9,33.3,.231,,10.1,76.7,.170
51,2021-04-07,NOP,@,BRK,L,111,139,108.2,135.4,102.6,.438,.303,.523,47.1,60.5,8.8,3.9,,.461,11.7,32.7,.326,,14.3,69.7,.196
52,2021-04-09,NOP,,PHI,W,101,94,97.4,90.7,103.7,.333,.244,.489,54.4,56.4,10.6,14.6,,.456,10.4,18.9,.211,,17.5,92.0,.215
53,2021-04-11,NOP,@,CLE,W,116,109,118.1,111.0,98.2,.302,.279,.595,58.1,68.2,9.2,6.7,,.552,14.1,34.1,.244,,15.5,80.0,.165
54,2021-04-12,NOP,,SAC,W,117,110,111.4,104.7,105.0,.506,.247,.621,60.0,57.1,7.6,9.1,,.584,18.2,25.7,.351,,8.6,84.0,.244
55,2021-04-14,NOP,,NYK,L,106,116,110.1,120.5,96.3,.273,.318,.538,50.5,62.5,3.1,7.8,,.489,8.4,19.6,.227,,5.5,78.4,.113
56,2021-04-16,NOP,@,WAS,L,115,117,99.5,101.2,104.7,.340,.289,.516,54.9,65.0,9.5,10.1,,.448,11.9,20.4,.289,,10.6,93.8,.240
57,2021-04-18,NOP,@,NYK,L,112,122,109.7,119.5,92.5,.297,.267,.490,51.5,61.0,5.9,6.1,,.436,9.5,35.7,.238,,11.0,71.1,.221
58,2021-04-20,NOP,,BRK,L,129,134,123.6,128.4,104.4,.264,.363,.635,45.7,54.9,4.8,3.8,,.626,11.3,17.1,.165,,11.4,75.0,.247
59,2021-04-22,NOP,@,ORL,W,135,100,137.6,101.9,98.1,.289,.311,.665,59.2,68.0,2.0,4.8,,.622,12.1,30.8,.256,,3.6,78.0,.153
60,2021-04-24,NOP,,SAS,L,108,110,101.3,103.1,106.6,.368,.253,.534,51.1,48.8,11.3,1.9,,.523,15.8,21.3,.195,,14.6,80.9,.318
61,2021-04-26,NOP,,LAC,W,120,103,120.3,103.2,99.8,.317,.354,.642,50.0,63.6,13.0,11.1,,.628,14.6,20.5,.207,,15.6,73.5,.189
62,2021-04-28,NOP,@,DEN,L,112,114,103.0,104.9,108.7,.218,.345,.587,52.5,62.8,12.0,9.4,,.563,18.0,14.6,.161,,15.9,92.3,.212
63,2021-04-29,NOP,@,OKC,W,109,95,103.7,90.4,105.1,.188,.287,.498,51.4,57.8,10.5,12.0,,.470,9.9,26.8,.139,,18.4,77.4,.180
64,2021-05-01,NOP,@,MIN,W,140,136,117.9,114.6,107.5,.500,.391,.624,50.5,72.3,6.7,8.6,,.587,15.8,26.9,.348,,11.8,74.5,.236
65,2021-05-03,NOP,,GSW,L,108,123,105.2,119.8,102.7,.356,.278,.519,55.3,51.3,5.8,9.1,,.461,13.3,28.3,.278,,12.9,87.2,.136
66,2021-05-04,NOP,,GSW,W,108,103,104.6,99.8,103.2,.227,.309,.506,54.3,71.8,9.7,7.5,,.464,10.1,25.9,.186,,15.8,84.3,.054
67,2021-05-07,NOP,@,PHI,L,107,109,107.2,109.2,99.8,.218,.356,.483,50.5,63.4,12.0,12.0,,.450,8.3,28.1,.158,,13.7,78.3,.212
68,2021-05-09,NOP,@,CHO,W,112,110,107.0,105.1,104.7,.229,.385,.530,52.6,57.8,10.5,15.5,,.531,13.1,31.4,.104,,14.2,76.1,.137
