G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,NYK,,ATL,W,126,107,111.0,94.3,113.5,.313,.333,.559,50.5,46.7,10.6,11.1,,.515,11.8,20.8,.242,,19.7,83.7,.167
2,2018-10-19,NYK,@,BRK,L,105,107,112.0,114.1,93.8,.206,.289,.496,39.6,35.9,10.7,2.2,,.448,2.8,21.8,.186,,20.5,66.7,.280
3,2018-10-20,NYK,,BOS,L,101,103,101.7,103.7,99.3,.310,.402,.511,49.5,63.9,8.1,1.8,,.483,13.9,23.4,.195,,13.5,76.1,.341
4,2018-10-22,NYK,@,MIL,L,113,124,112.0,122.9,100.9,.152,.293,.535,43.9,48.9,5.9,3.6,,.505,9.4,23.4,.131,,11.6,62.7,.177
5,2018-10-24,NYK,@,MIA,L,87,110,87.4,110.4,99.6,.154,.363,.448,46.9,60.6,5.0,5.7,,.429,11.0,17.5,.099,,12.1,89.7,.232
6,2018-10-26,NYK,,GSW,L,100,128,100.3,128.4,99.7,.133,.433,.525,50.6,43.6,6.0,1.9,,.506,16.6,25.0,.100,,13.2,82.9,.115
7,2018-10-29,NYK,,BRK,W,115,96,127.1,106.1,90.5,.196,.261,.575,62.4,46.7,5.5,6.5,,.538,11.5,43.2,.174,,9.6,77.1,.202
8,2018-10-31,NYK,,IND,L,101,107,107.3,113.7,94.1,.304,.316,.564,46.1,52.9,6.4,9.5,,.506,16.0,22.5,.266,,14.2,72.2,.133
9,2018-11-02,NYK,@,DAL,W,118,106,122.4,110.0,96.4,.310,.345,.618,50.0,56.5,13.5,7.7,,.589,11.2,25.6,.226,,16.4,73.2,.185
10,2018-11-04,NYK,@,WAS,L,95,108,97.1,110.3,97.9,.172,.290,.475,52.0,48.7,5.1,8.8,,.446,15.2,31.9,.129,,11.5,70.6,.361
11,2018-11-05,NYK,,CHI,L,115,116,102.8,103.7,92.5,.274,.245,.484,56.4,48.8,6.3,9.2,,.420,12.5,36.2,.245,,14.9,78.8,.232
12,2018-11-07,NYK,@,ATL,W,112,107,110.3,105.4,101.5,.610,.390,.573,51.6,44.1,7.9,13.0,,.513,14.1,26.8,.429,,14.0,71.2,.239
13,2018-11-10,NYK,@,TOR,L,112,128,112.0,128.0,100.0,.229,.229,.530,50.5,40.9,12.0,13.6,,.490,11.7,32.0,.188,,13.4,72.1,.380
14,2018-11-11,NYK,,ORL,L,89,115,86.1,111.3,103.3,.341,.318,.440,50.9,41.9,3.9,26.8,,.381,15.8,23.6,.250,,9.7,80.4,.102
15,2018-11-14,NYK,@,OKC,L,103,128,100.6,125.0,102.4,.261,.295,.525,43.4,46.2,7.8,12.9,,.483,15.5,20.9,.205,,13.8,67.5,.105
16,2018-11-16,NYK,@,NOP,L,124,129,111.8,116.3,110.9,.245,.347,.571,44.9,31.3,9.0,9.2,,.546,10.7,21.8,.173,,11.7,74.4,.232
17,2018-11-18,NYK,@,ORL,L,117,131,118.8,133.0,98.5,.402,.276,.571,54.5,30.0,7.1,3.8,,.506,12.0,37.8,.333,,13.6,78.1,.262
18,2018-11-20,NYK,,POR,L,114,118,118.7,122.9,96.0,.265,.349,.615,49.4,52.4,8.3,8.3,,.584,13.9,25.6,.205,,9.7,69.6,.126
19,2018-11-21,NYK,@,BOS,W,117,109,115.0,107.1,101.8,.191,.337,.606,49.5,56.8,2.9,17.2,,.579,15.0,20.5,.157,,6.7,72.7,.237
20,2018-11-23,NYK,,NOP,W,114,109,114.8,109.8,99.3,.297,.363,.554,45.5,53.7,9.1,13.7,,.516,7.2,25.5,.220,,11.0,63.0,.218
21,2018-11-25,NYK,@,MEM,W,103,98,109.8,104.5,93.8,.352,.242,.490,57.7,50.0,4.3,8.9,,.418,6.2,28.6,.297,,6.9,87.5,.128
22,2018-11-27,NYK,@,DET,L,108,115,104.6,111.4,103.2,.352,.297,.514,51.0,44.4,4.8,8.9,,.445,11.0,24.1,.297,,11.5,84.1,.400
23,2018-11-28,NYK,@,PHI,L,91,117,90.6,116.5,100.4,.239,.315,.447,45.1,43.8,11.0,8.1,,.380,11.3,20.8,.228,,14.5,78.9,.126
24,2018-12-01,NYK,,MIL,W,136,134,120.8,119.0,102.0,.219,.354,.646,44.6,58.8,4.4,3.8,,.635,13.2,12.8,.146,,12.9,77.8,.255
25,2018-12-03,NYK,,WAS,L,107,110,111.1,114.2,96.3,.311,.378,.523,59.1,54.1,4.2,8.3,,.478,13.5,38.8,.233,,9.3,81.8,.098
26,2018-12-06,NYK,@,BOS,L,100,128,99.8,127.7,100.2,.220,.385,.501,50.5,58.3,4.0,9.3,,.462,13.8,26.4,.176,,8.2,82.5,.185
27,2018-12-08,NYK,,BRK,L,104,112,107.5,115.8,96.7,.361,.313,.541,47.1,56.4,8.3,3.0,,.518,11.1,21.4,.217,,10.8,72.1,.170
28,2018-12-09,NYK,,CHO,L,107,119,104.1,115.7,102.8,.075,.280,.557,49.4,63.6,4.9,3.8,,.543,15.0,18.2,.065,,10.8,84.6,.264
