G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-26,OKC,@,CHO,W,109,107,104.7,102.8,104.1,.273,.409,.553,53.5,62.5,9.6,11.5,,.511,14.0,20.9,.216,,10.8,77.6,.215
2,2020-12-28,OKC,,UTA,L,109,110,109.9,110.9,99.2,.221,.442,.578,46.3,52.5,9.1,10.0,,.552,13.7,16.7,.163,,14.8,78.9,.128
3,2020-12-29,OKC,,ORL,L,107,118,104.4,115.1,102.5,.218,.391,.561,50.5,46.5,2.9,9.5,,.557,17.3,22.7,.115,,9.6,75.5,.135
4,2020-12-31,OKC,,NOP,L,80,113,82.4,116.3,97.1,.188,.600,.462,40.8,80.0,6.2,5.5,,.469,18.0,13.7,.063,,11.6,70.2,.132
5,2021-01-02,OKC,@,ORL,W,108,99,108.8,99.7,99.3,.244,.477,.567,48.6,57.9,5.0,7.1,,.517,9.5,13.0,.221,,5.0,75.4,.083
6,2021-01-04,OKC,@,MIA,L,90,118,91.7,120.2,98.1,.342,.608,.495,44.7,69.0,6.1,8.5,,.449,14.2,12.2,.241,,13.6,88.9,.123
7,2021-01-06,OKC,@,NOP,W,111,110,107.6,106.7,103.1,.184,.529,.590,42.2,70.0,9.7,7.5,,.569,13.0,8.5,.138,,13.1,79.1,.202
8,2021-01-08,OKC,@,NYK,W,101,89,105.8,93.3,95.4,.241,.391,.525,55.9,42.1,2.1,10.1,,.500,10.3,22.4,.161,,3.7,82.3,.125
9,2021-01-10,OKC,@,BRK,W,129,116,124.1,111.6,103.9,.189,.433,.662,44.2,49.0,11.5,7.8,,.628,9.3,7.5,.178,,15.1,83.8,.235
10,2021-01-12,OKC,,SAS,L,102,112,102.0,112.0,100.0,.349,.313,.533,53.1,50.0,1.0,8.3,,.476,12.0,15.2,.277,,3.7,86.5,.211
11,2021-01-13,OKC,,LAL,L,99,128,102.2,132.2,96.8,.221,.360,.525,45.7,62.2,4.1,10.3,,.488,10.4,19.1,.174,,7.9,73.3,.179
