G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,ORL,,MIA,W,116,109,110.3,103.6,105.2,.322,.233,.564,53.2,51.2,7.6,12.7,,.522,12.0,25.0,.244,,10.7,78.0,.129
2,2017-10-20,ORL,@,BRK,L,121,126,112.6,117.3,107.4,.169,.371,.633,45.5,66.7,8.4,4.6,,.607,18.7,21.4,.146,,14.4,67.4,.272
3,2017-10-21,ORL,@,CLE,W,114,93,116.4,95.0,97.9,.222,.389,.577,53.2,70.0,7.2,9.8,,.539,10.8,26.7,.189,,14.0,77.6,.233
4,2017-10-24,ORL,,BRK,W,125,121,118.0,114.2,105.9,.482,.277,.621,47.3,48.8,7.6,8.2,,.542,9.9,14.6,.422,,11.9,73.1,.313
5,2017-10-27,ORL,,SAS,W,114,87,115.1,87.8,99.1,.167,.274,.632,47.9,45.8,9.1,10.8,,.637,15.9,15.8,.083,,14.4,69.6,.258
6,2017-10-29,ORL,@,CHO,L,113,120,104.6,111.1,108.1,.268,.340,.521,39.8,68.3,10.2,5.1,,.479,9.2,16.1,.206,,14.0,71.4,.082
7,2017-10-30,ORL,@,NOP,W,115,99,113.3,97.5,101.5,.212,.400,.619,50.0,62.8,9.9,1.8,,.600,14.7,15.0,.153,,17.0,80.4,.165
8,2017-11-01,ORL,@,MEM,W,101,99,105.0,102.9,96.2,.187,.387,.622,55.1,65.8,6.2,15.4,,.593,22.8,18.8,.160,,12.7,86.5,.134
9,2017-11-03,ORL,,CHI,L,83,105,88.0,111.3,94.3,.058,.407,.471,44.2,65.7,6.4,3.6,,.465,15.4,15.2,.035,,13.4,77.5,.129
10,2017-11-05,ORL,,BOS,L,88,104,88.5,104.5,99.5,.198,.319,.445,45.5,54.5,4.0,7.1,,.396,11.6,18.2,.176,,11.7,79.5,.169
11,2017-11-08,ORL,,NYK,W,112,99,118.9,105.1,94.2,.275,.350,.624,40.8,72.1,17.0,10.3,,.619,11.8,16.7,.163,,21.2,65.7,.125
12,2017-11-10,ORL,@,PHO,W,128,112,119.2,104.3,107.4,.524,.341,.634,52.4,67.4,7.5,7.1,,.604,15.1,20.0,.354,,12.5,75.5,.202
13,2017-11-11,ORL,@,DEN,L,107,125,110.2,128.8,97.1,.230,.356,.558,41.9,58.5,7.2,8.6,,.534,11.1,17.8,.161,,10.8,68.3,.241
14,2017-11-13,ORL,@,GSW,L,100,110,100.9,111.0,99.1,.205,.364,.521,41.2,70.3,10.1,4.6,,.477,10.3,9.5,.182,,14.4,72.1,.159
15,2017-11-15,ORL,@,POR,L,94,99,103.5,109.0,90.8,.114,.367,.567,50.0,51.4,6.6,6.7,,.538,15.3,18.4,.114,,11.5,77.3,.103
16,2017-11-18,ORL,,UTA,L,85,125,87.5,128.7,97.1,.284,.358,.466,46.0,41.9,10.3,7.8,,.432,14.9,21.6,.185,,8.6,71.4,.173
17,2017-11-20,ORL,,IND,L,97,105,93.7,101.4,103.5,.274,.452,.515,51.0,65.7,5.8,10.1,,.494,18.9,21.6,.167,,10.5,83.0,.258
18,2017-11-22,ORL,@,MIN,L,118,124,114.3,120.1,103.2,.242,.407,.586,51.2,60.9,3.9,6.3,,.571,12.2,17.9,.154,,6.2,78.7,.414
19,2017-11-24,ORL,@,BOS,L,103,118,108.1,123.9,95.3,.200,.253,.498,52.6,51.2,6.3,8.2,,.479,10.4,32.7,.126,,7.3,72.9,.187
20,2017-11-25,ORL,@,PHI,L,111,130,109.9,128.8,101.0,.360,.360,.557,43.6,56.4,7.9,8.2,,.523,8.3,14.3,.244,,9.6,75.6,.189
21,2017-11-27,ORL,@,IND,L,109,121,112.5,124.8,96.9,.174,.446,.550,44.9,55.0,4.1,17.0,,.522,12.4,22.2,.141,,13.4,75.8,.278
22,2017-11-29,ORL,,OKC,W,121,108,124.2,110.9,97.4,.342,.395,.692,43.5,62.2,9.2,10.9,,.678,12.9,6.9,.237,,10.6,62.5,.208
23,2017-12-01,ORL,,GSW,L,112,133,109.3,129.8,102.5,.188,.292,.539,45.5,52.3,8.8,6.3,,.516,11.9,27.1,.135,,17.0,75.9,.125
24,2017-12-03,ORL,@,NYK,W,105,100,108.5,103.4,96.7,.354,.341,.554,48.3,51.4,8.3,3.8,,.488,9.5,18.6,.305,,12.6,77.3,.097
25,2017-12-04,ORL,@,CHO,L,94,104,92.4,102.2,101.7,.171,.390,.533,43.5,66.7,4.9,7.5,,.500,18.5,10.9,.146,,12.1,76.1,.393
26,2017-12-06,ORL,,ATL,W,110,106,103.5,99.7,96.2,.184,.286,.519,51.5,37.0,8.5,10.6,,.500,13.1,25.5,.122,,14.3,78.0,.161
27,2017-12-08,ORL,,DEN,L,89,103,93.6,108.3,95.1,.277,.253,.478,48.8,54.5,5.3,10.9,,.428,13.1,22.4,.217,,11.5,83.8,.153
