G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,PHI,@,WAS,L,115,120,110.3,115.1,104.3,.204,.376,.567,48.0,58.1,5.8,8.0,,.543,14.4,23.4,.151,,7.3,69.8,.309
2,2017-10-20,PHI,,BOS,L,92,102,92.4,102.5,99.5,.174,.348,.464,46.1,57.1,7.0,7.3,,.435,13.9,25.5,.130,,16.2,70.2,.262
3,2017-10-21,PHI,@,TOR,L,94,128,87.4,119.1,107.5,.439,.293,.480,44.6,56.3,4.7,8.9,,.439,17.0,15.7,.268,,11.0,80.5,.348
4,2017-10-23,PHI,@,DET,W,97,86,100.4,89.0,96.6,.320,.320,.567,55.7,71.4,11.4,0.0,,.527,19.7,21.1,.240,,13.0,82.0,.165
5,2017-10-25,PHI,,HOU,L,104,105,106.4,107.4,97.8,.103,.371,.513,51.8,67.4,14.3,19.4,,.505,12.1,26.7,.062,,18.2,81.6,.280
6,2017-10-28,PHI,@,DAL,W,112,110,119.0,116.9,94.1,.161,.402,.601,56.0,58.1,10.6,2.9,,.586,12.2,26.8,.115,,17.1,91.2,.203
7,2017-10-30,PHI,@,HOU,W,115,107,113.4,105.5,101.4,.300,.300,.635,57.8,61.4,9.9,11.1,,.613,17.3,21.9,.213,,13.1,80.4,.337
8,2017-11-01,PHI,,ATL,W,119,109,109.3,100.1,108.9,.253,.354,.541,52.0,78.3,9.2,5.6,,.530,12.7,28.8,.141,,14.5,76.0,.202
9,2017-11-03,PHI,,IND,W,121,110,116.3,105.7,104.0,.152,.391,.616,55.6,73.9,6.7,13.0,,.598,15.5,27.3,.120,,9.5,82.6,.124
10,2017-11-07,PHI,@,UTA,W,104,97,97.6,91.1,106.5,.370,.333,.552,55.4,67.6,4.7,10.0,,.494,18.9,20.5,.296,,9.5,77.4,.283
11,2017-11-09,PHI,@,SAC,L,108,109,105.3,106.2,102.6,.310,.425,.546,55.4,62.2,5.8,7.6,,.511,14.7,26.0,.218,,7.9,84.3,.183
12,2017-11-11,PHI,@,GSW,L,114,135,105.6,125.1,107.9,.213,.298,.554,49.4,68.2,9.3,3.6,,.532,15.6,27.1,.149,,19.1,86.2,.305
13,2017-11-13,PHI,@,LAC,W,109,105,109.0,105.0,100.0,.455,.416,.590,60.0,71.1,9.0,4.0,,.539,17.8,28.6,.338,,13.5,82.0,.256
14,2017-11-15,PHI,@,LAL,W,115,109,109.4,103.7,105.1,.349,.372,.580,47.7,64.3,6.7,18.3,,.529,13.9,18.6,.279,,6.9,66.7,.202
15,2017-11-18,PHI,,GSW,L,116,124,115.4,123.3,100.5,.165,.299,.557,45.5,59.6,8.0,7.4,,.536,9.6,22.9,.124,,10.7,72.5,.187
