G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,PHO,,POR,L,76,124,77.0,125.6,98.7,.202,.303,.392,36.7,35.7,9.1,12.1,,.354,14.2,19.2,.146,,13.5,60.5,.244
2,2017-10-20,PHO,,LAL,L,130,132,110.9,112.7,117.2,.413,.315,.598,54.3,37.8,6.8,13.4,,.565,14.9,21.3,.283,,14.3,88.9,.258
3,2017-10-21,PHO,@,LAC,L,88,130,86.7,128.1,101.5,.535,.338,.502,40.9,70.4,7.9,4.8,,.423,17.8,8.7,.394,,10.6,76.2,.250
4,2017-10-23,PHO,,SAC,W,117,115,114.2,112.2,102.5,.351,.390,.658,54.9,47.6,5.9,6.5,,.610,18.4,20.0,.299,,7.5,75.0,.202
5,2017-10-25,PHO,,UTA,W,97,88,96.6,87.6,100.4,.094,.198,.485,55.6,42.9,8.0,9.6,,.469,13.8,30.2,.073,,20.7,84.8,.234
6,2017-10-28,PHO,@,POR,L,107,114,104.0,110.8,102.9,.345,.299,.534,46.5,56.8,11.7,10.8,,.477,14.5,22.6,.276,,11.9,73.9,.253
7,2017-10-31,PHO,@,BRK,W,122,114,108.0,100.9,112.9,.250,.229,.572,60.0,40.0,4.4,7.0,,.521,14.5,21.3,.229,,5.7,88.9,.206
8,2017-11-01,PHO,@,WAS,W,122,116,125.5,119.3,97.2,.458,.289,.612,50.0,56.1,5.1,8.1,,.548,8.3,26.8,.373,,10.2,69.4,.261
9,2017-11-03,PHO,@,NYK,L,107,120,108.6,121.8,98.5,.381,.330,.472,49.0,50.0,7.1,4.9,,.397,8.1,33.3,.309,,10.9,75.0,.253
10,2017-11-05,PHO,@,SAS,L,95,112,99.1,116.8,95.9,.272,.284,.524,51.1,62.2,5.2,6.1,,.506,16.6,23.9,.160,,8.6,81.0,.148
11,2017-11-06,PHO,,BRK,L,92,98,90.8,96.7,101.3,.407,.291,.454,52.0,43.3,7.9,12.7,,.384,14.4,27.5,.302,,13.8,77.6,.230
12,2017-11-08,PHO,,MIA,L,115,126,113.8,124.7,101.1,.341,.330,.568,39.1,50.0,4.0,3.9,,.523,9.8,12.5,.261,,12.7,71.8,.346
13,2017-11-10,PHO,,ORL,L,112,128,104.3,119.2,107.4,.266,.255,.533,47.6,29.5,7.5,9.3,,.495,12.5,24.5,.202,,15.1,80.0,.354
14,2017-11-11,PHO,,MIN,W,118,110,114.5,106.8,103.0,.279,.302,.611,49.5,45.7,3.9,13.2,,.593,15.7,20.0,.186,,9.0,67.2,.292
15,2017-11-13,PHO,,LAL,L,93,100,89.0,95.7,104.5,.211,.274,.448,50.5,40.5,5.7,6.8,,.426,12.6,20.0,.126,,14.1,82.7,.087
16,2017-11-16,PHO,,HOU,L,116,142,108.5,132.8,106.9,.202,.288,.512,48.0,59.6,8.4,10.9,,.500,11.0,29.1,.115,,11.6,72.1,.389
17,2017-11-17,PHO,@,LAL,W,122,113,109.8,101.7,111.2,.184,.311,.548,47.3,58.3,9.0,7.6,,.529,10.5,18.4,.126,,15.8,79.5,.176
18,2017-11-19,PHO,,CHI,W,113,105,111.4,103.5,101.5,.247,.303,.573,50.5,71.1,4.9,6.2,,.545,10.8,20.5,.180,,9.3,76.5,.089
19,2017-11-22,PHO,,MIL,L,107,113,98.3,103.8,98.6,.355,.237,.498,58.8,40.5,6.4,13.2,,.435,21.2,43.1,.280,,11.2,74.5,.216
20,2017-11-24,PHO,,NOP,L,91,115,90.9,114.9,100.1,.191,.213,.446,49.5,32.4,9.0,9.4,,.404,13.6,29.4,.160,,13.0,71.7,.176
21,2017-11-26,PHO,@,MIN,L,108,119,118.4,130.5,91.2,.141,.306,.598,43.5,58.1,6.6,1.4,,.582,14.2,27.5,.106,,9.1,57.8,.129
22,2017-11-28,PHO,@,CHI,W,104,99,107.8,102.7,96.4,.264,.345,.535,58.2,65.8,4.1,7.4,,.500,13.4,28.9,.195,,8.4,83.0,.074
23,2017-11-29,PHO,@,DET,L,107,131,98.9,121.1,108.2,.333,.262,.555,45.7,53.8,10.2,6.6,,.506,16.5,17.0,.262,,16.2,85.3,.180
24,2017-12-02,PHO,@,BOS,L,111,116,118.2,123.5,93.9,.109,.238,.524,60.3,50.0,8.5,2.0,,.510,8.6,37.2,.079,,9.1,88.6,.225
25,2017-12-04,PHO,@,PHI,W,115,101,120.8,106.1,95.2,.242,.242,.571,49.5,56.8,10.5,14.8,,.538,9.8,30.6,.187,,12.5,70.5,.176
26,2017-12-05,PHO,@,TOR,L,113,126,105.1,117.2,107.5,.507,.320,.616,45.5,62.2,6.5,7.1,,.553,15.6,0.0,.400,,12.7,81.4,.250
27,2017-12-07,PHO,,WAS,L,99,109,108.0,118.9,91.7,.359,.295,.548,52.5,61.1,5.5,8.3,,.506,12.6,25.0,.256,,9.8,80.0,.235
28,2017-12-09,PHO,,SAS,L,101,104,109.7,112.9,92.1,.375,.313,.542,43.5,31.4,4.3,1.5,,.481,9.7,22.7,.300,,13.3,62.5,.207
29,2017-12-12,PHO,@,SAC,L,92,99,99.6,107.2,92.4,.156,.356,.478,50.0,59.5,5.4,6.0,,.450,11.1,27.7,.122,,8.4,74.4,.180
30,2017-12-13,PHO,,TOR,L,109,115,111.2,117.3,98.1,.410,.289,.556,47.7,54.1,3.1,13.6,,.494,10.1,21.3,.325,,5.4,79.5,.283
31,2017-12-16,PHO,@,MIN,W,108,106,112.7,110.6,95.8,.486,.333,.618,62.7,66.7,4.2,4.4,,.535,20.8,38.2,.431,,5.4,79.6,.179
32,2017-12-18,PHO,@,DAL,W,97,91,98.0,91.9,99.0,.278,.316,.547,53.8,48.6,9.1,11.8,,.506,16.9,17.1,.215,,13.6,84.0,.182
33,2017-12-20,PHO,@,LAC,L,95,108,98.2,111.6,96.7,.196,.361,.451,50.0,62.9,3.1,5.3,,.402,8.7,25.5,.175,,8.4,80.0,.184
34,2017-12-21,PHO,,MEM,W,97,95,109.8,107.5,88.3,.333,.321,.522,46.8,63.6,4.5,1.6,,.469,9.7,25.5,.259,,8.5,68.1,.133
35,2017-12-23,PHO,,MIN,L,106,115,109.7,119.0,96.6,.279,.372,.549,43.4,60.0,5.2,5.9,,.529,11.9,20.9,.174,,12.6,67.5,.298
36,2017-12-26,PHO,,MEM,W,99,97,102.2,100.2,96.8,.486,.306,.566,51.9,75.0,5.2,7.5,,.500,17.9,17.6,.375,,9.1,77.8,.276
37,2017-12-29,PHO,@,SAC,W,111,101,125.7,114.4,88.3,.282,.353,.581,56.0,63.4,5.7,8.8,,.559,9.5,35.6,.188,,9.1,79.5,.238
38,2017-12-31,PHO,,PHI,L,110,123,108.4,121.3,101.4,.386,.307,.534,44.3,48.6,8.9,7.5,,.477,13.4,26.7,.295,,18.6,67.6,.351
39,2018-01-02,PHO,,ATL,W,104,103,109.0,108.0,95.4,.338,.286,.588,54.0,61.5,7.3,7.1,,.552,19.2,32.4,.247,,14.0,67.9,.241
40,2018-01-03,PHO,@,DEN,L,111,134,109.8,132.6,101.1,.304,.380,.532,42.2,66.7,11.9,1.8,,.495,10.3,25.9,.217,,17.9,72.4,.244
41,2018-01-05,PHO,@,SAS,L,89,103,87.0,100.7,102.3,.217,.361,.489,51.1,62.9,10.8,3.5,,.464,20.2,19.6,.145,,13.6,84.1,.115
42,2018-01-07,PHO,,OKC,W,114,100,122.7,107.6,92.9,.261,.443,.581,50.6,61.5,6.5,10.2,,.540,6.7,26.1,.216,,10.4,79.5,.140
43,2018-01-12,PHO,,HOU,L,95,112,97.5,114.9,97.5,.113,.413,.566,41.8,73.0,5.1,6.4,,.550,18.5,9.3,.088,,9.6,70.8,.202
44,2018-01-14,PHO,,IND,L,97,120,106.7,132.0,90.9,.282,.435,.508,51.7,57.1,2.2,1.5,,.465,11.2,29.2,.212,,6.0,79.5,.148
45,2018-01-16,PHO,@,POR,L,111,118,117.2,124.6,94.7,.247,.461,.562,50.0,56.8,6.3,5.4,,.506,11.6,26.1,.236,,8.6,77.5,.099
46,2018-01-19,PHO,@,DEN,W,108,100,113.8,105.3,94.9,.247,.407,.601,46.8,70.0,9.5,14.3,,.580,10.9,10.3,.173,,15.5,82.5,.205
47,2018-01-22,PHO,@,MIL,L,105,109,110.2,114.4,95.3,.253,.329,.598,51.5,79.5,12.6,3.7,,.551,19.3,27.3,.228,,16.3,75.8,.394
48,2018-01-24,PHO,@,IND,L,101,116,101.5,116.6,99.5,.345,.417,.522,51.9,62.9,3.0,3.6,,.470,14.2,21.7,.262,,11.7,91.4,.213
49,2018-01-26,PHO,,NYK,L,85,107,86.8,109.3,97.9,.138,.351,.426,46.2,45.5,6.1,5.0,,.410,12.3,23.5,.085,,14.5,75.0,.188
50,2018-01-28,PHO,@,HOU,L,102,113,103.2,114.4,98.8,.306,.388,.529,50.0,47.2,7.1,5.7,,.471,11.1,15.6,.259,,11.4,87.8,.528
51,2018-01-29,PHO,@,MEM,L,109,120,111.9,123.2,97.4,.439,.280,.557,49.3,52.6,11.3,3.3,,.506,16.3,36.6,.317,,18.0,64.7,.181
52,2018-01-31,PHO,,DAL,W,102,88,106.8,92.2,95.5,.181,.361,.569,49.0,57.5,9.4,5.8,,.548,15.9,19.0,.133,,10.8,72.2,.159
53,2018-02-02,PHO,,UTA,L,97,129,98.6,131.1,98.4,.218,.379,.509,38.6,52.8,7.1,8.2,,.466,11.2,12.5,.184,,10.1,74.3,.133
54,2018-02-04,PHO,,CHO,L,110,115,110.7,115.7,99.4,.169,.377,.665,47.6,58.5,4.0,6.9,,.630,18.7,6.3,.169,,6.9,74.0,.260
