G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,POR,,UTA,L,100,120,101.8,122.1,98.3,.185,.359,.503,40.4,62.2,6.1,6.8,,.467,5.7,11.3,.152,,9.7,73.9,.160
2,2020-12-26,POR,,HOU,W,128,126,119.2,117.4,97.2,.225,.441,.571,51.7,57.4,9.3,9.6,,.554,10.4,25.6,.147,,13.7,77.3,.287
3,2020-12-28,POR,@,LAL,W,115,107,115.1,107.1,99.9,.163,.500,.583,52.3,62.8,9.0,10.0,,.554,8.4,16.7,.141,,12.9,86.4,.172
4,2020-12-30,POR,@,LAC,L,105,128,103.6,126.3,101.3,.447,.500,.577,46.6,43.8,4.9,7.0,,.500,15.7,12.2,.382,,8.7,76.6,.168
5,2021-01-01,POR,@,GSW,W,123,98,117.8,93.9,104.4,.326,.467,.585,53.7,57.5,10.5,6.8,,.543,8.7,16.3,.250,,13.8,93.5,.367
6,2021-01-03,POR,@,GSW,L,122,137,113.8,127.8,107.2,.337,.439,.542,43.0,39.0,6.5,3.7,,.490,9.6,22.2,.265,,12.7,71.8,.295
7,2021-01-05,POR,,CHI,L,108,111,107.6,110.6,100.3,.181,.543,.532,46.9,59.0,8.0,6.0,,.516,9.8,19.6,.117,,13.2,76.6,.165
8,2021-01-07,POR,,MIN,W,135,117,126.6,109.7,106.6,.256,.456,.674,47.8,51.0,9.4,11.5,,.644,13.0,15.4,.211,,13.0,71.7,.269
9,2021-01-09,POR,@,SAC,W,125,99,119.1,94.3,104.9,.230,.410,.568,51.5,59.1,9.5,9.8,,.525,6.8,18.0,.200,,13.5,87.2,.309
10,2021-01-11,POR,,TOR,W,112,111,113.7,112.6,98.5,.301,.506,.596,49.4,47.4,9.1,14.3,,.542,12.1,18.2,.265,,13.7,82.9,.135
11,2021-01-13,POR,@,SAC,W,132,126,136.6,130.4,96.6,.300,.533,.648,47.5,63.6,9.3,17.4,,.617,7.3,26.1,.233,,12.0,76.5,.226
12,2021-01-14,POR,,IND,L,87,111,92.5,118.0,94.1,.115,.494,.476,46.2,50.0,8.5,8.1,,.443,16.5,27.5,.115,,10.7,69.0,.152
13,2021-01-16,POR,,ATL,W,112,106,111.3,105.3,100.6,.194,.427,.501,53.4,45.0,6.0,14.0,,.461,5.9,29.3,.165,,11.6,84.4,.276
14,2021-01-18,POR,,SAS,L,104,125,106.7,128.3,97.4,.211,.389,.529,41.5,51.3,9.2,10.5,,.489,11.7,18.2,.178,,11.0,68.4,.156
15,2021-01-24,POR,,NYK,W,116,113,124.6,121.4,93.1,.277,.554,.623,45.3,48.7,5.4,14.0,,.572,10.6,20.9,.253,,11.0,69.8,.267
16,2021-01-25,POR,,OKC,L,122,125,125.5,128.6,97.2,.214,.418,.569,53.8,37.0,6.2,6.8,,.541,6.9,30.6,.163,,7.4,79.5,.250
17,2021-01-28,POR,@,HOU,L,101,104,102.1,105.2,98.9,.086,.441,.523,51.0,41.0,6.1,16.3,,.511,13.5,21.3,.065,,11.7,79.6,.167
18,2021-01-30,POR,@,CHI,W,123,122,132.2,131.1,93.1,.216,.477,.638,44.9,44.4,11.8,2.5,,.608,7.7,22.0,.182,,14.1,70.3,.176
19,2021-02-01,POR,@,MIL,L,106,134,103.0,130.2,102.9,.125,.404,.483,45.9,48.7,7.8,11.1,,.447,9.1,24.1,.125,,10.6,77.5,.073
20,2021-02-02,POR,@,WAS,W,132,121,136.7,125.3,96.6,.242,.484,.628,53.0,43.2,6.2,2.3,,.574,7.9,29.8,.242,,12.6,83.3,.157
21,2021-02-04,POR,@,PHI,W,121,105,123.6,107.3,97.9,.235,.316,.560,58.9,37.8,8.2,9.3,,.526,9.2,39.6,.184,,16.4,81.0,.247
22,2021-02-06,POR,@,NYK,L,99,110,102.9,114.4,96.2,.180,.528,.515,44.6,40.5,7.3,12.1,,.511,10.3,20.4,.090,,13.0,78.9,.102
23,2021-02-09,POR,,ORL,W,106,97,110.2,100.9,96.1,.211,.511,.539,50.5,51.4,6.2,11.3,,.489,7.5,17.3,.200,,9.3,81.8,.136
24,2021-02-11,POR,,PHI,W,118,114,125.7,121.4,93.9,.247,.409,.572,50.5,37.5,5.3,3.4,,.522,7.2,30.0,.226,,8.4,74.4,.279
25,2021-02-12,POR,,CLE,W,129,110,127.7,108.9,101.0,.398,.422,.661,52.3,37.2,3.0,6.3,,.596,12.6,22.5,.361,,9.6,78.3,.299
26,2021-02-14,POR,@,DAL,W,121,118,130.0,126.8,93.1,.224,.471,.648,50.7,33.3,7.5,5.0,,.635,13.8,28.6,.153,,11.5,72.2,.296
27,2021-02-16,POR,@,OKC,W,115,104,117.5,106.3,97.9,.177,.490,.556,54.0,61.9,6.1,15.4,,.542,8.8,27.8,.115,,10.2,84.8,.235
28,2021-02-17,POR,@,NOP,W,126,124,133.7,131.6,94.2,.200,.456,.643,37.8,56.5,6.4,12.3,,.611,8.4,17.5,.178,,9.8,57.1,.258
29,2021-02-20,POR,,WAS,L,111,118,105.9,112.5,104.8,.243,.534,.487,48.1,51.4,9.5,11.1,,.451,9.5,28.8,.175,,14.3,73.3,.247
30,2021-02-22,POR,@,PHO,L,100,132,104.8,138.4,95.4,.226,.464,.541,51.7,40.5,6.3,9.1,,.512,14.8,30.2,.167,,6.1,71.7,.162
31,2021-02-23,POR,@,DEN,L,106,111,116.9,122.4,90.7,.115,.471,.580,54.0,51.2,0.0,12.1,,.552,9.0,18.9,.115,,1.0,80.0,.181
32,2021-02-26,POR,@,LAL,L,93,102,99.9,109.5,93.1,.241,.446,.507,46.4,59.4,5.4,8.2,,.452,14.0,21.3,.217,,8.2,70.0,.239
33,2021-03-01,POR,,CHO,W,123,111,127.6,115.1,96.4,.116,.535,.680,50.7,56.5,12.4,13.0,,.674,14.2,23.5,.081,,14.4,73.2,.114
34,2021-03-03,POR,,GSW,W,108,106,112.3,110.2,96.1,.302,.570,.554,46.5,41.7,5.2,7.3,,.500,9.3,17.8,.256,,9.6,69.6,.093
35,2021-03-04,POR,,SAC,W,123,119,128.8,124.6,95.5,.284,.432,.621,44.6,47.6,6.3,9.5,,.563,7.5,21.4,.273,,6.0,64.0,.097
36,2021-03-11,POR,,PHO,L,121,127,125.2,131.4,96.6,.202,.457,.591,51.9,60.5,8.3,3.4,,.553,9.7,31.3,.181,,12.5,83.9,.193
37,2021-03-13,POR,@,MIN,W,125,121,125.6,121.6,99.5,.337,.449,.612,37.8,60.5,6.0,8.3,,.556,7.3,15.9,.292,,15.3,58.7,.267
38,2021-03-14,POR,@,MIN,L,112,114,115.5,117.5,97.0,.236,.506,.570,48.3,56.4,6.2,8.6,,.534,10.1,18.4,.191,,11.7,86.8,.397
39,2021-03-16,POR,,NOP,W,125,124,126.1,125.1,99.1,.425,.589,.721,43.8,52.6,8.1,14.5,,.644,16.4,11.4,.425,,14.2,73.7,.182
40,2021-03-18,POR,,NOP,W,101,93,108.3,99.7,93.3,.287,.494,.515,53.2,33.3,8.6,17.4,,.460,11.7,29.2,.241,,11.3,78.3,.205
41,2021-03-19,POR,,DAL,W,125,119,136.0,129.5,91.9,.183,.505,.622,52.4,38.6,5.4,0.0,,.591,5.6,27.7,.161,,12.2,85.7,.148
42,2021-03-21,POR,,DAL,L,92,132,98.7,141.6,93.2,.213,.461,.472,38.8,50.0,7.5,6.1,,.433,5.8,17.0,.169,,9.5,75.0,.198
43,2021-03-23,POR,,BRK,L,112,116,120.1,124.4,93.2,.256,.611,.559,48.4,69.4,4.3,8.8,,.506,7.4,26.0,.233,,7.5,75.6,.241
44,2021-03-25,POR,@,MIA,W,125,122,129.9,126.8,96.2,.207,.500,.623,50.6,54.5,3.1,14.0,,.587,9.1,22.7,.185,,10.9,85.7,.143
45,2021-03-26,POR,@,ORL,W,112,105,113.4,106.3,98.8,.247,.471,.594,53.5,52.5,7.1,13.2,,.576,14.5,25.6,.165,,10.5,76.6,.095
46,2021-03-28,POR,@,TOR,W,122,117,123.2,118.2,99.0,.247,.351,.567,51.1,52.2,7.1,24.4,,.526,6.9,28.3,.206,,10.6,73.9,.287
47,2021-03-31,POR,@,DET,W,124,101,123.1,100.3,100.7,.317,.366,.664,54.4,64.3,10.9,11.9,,.610,12.2,16.2,.293,,14.6,88.1,.140
48,2021-04-02,POR,,MIL,L,109,127,102.0,118.9,106.8,.222,.545,.501,47.4,52.8,10.3,5.9,,.470,10.7,22.0,.162,,13.2,88.9,.189
49,2021-04-03,POR,,OKC,W,133,85,130.1,83.1,102.3,.135,.442,.604,54.9,49.0,12.7,5.9,,.587,7.6,30.6,.106,,18.7,77.4,.200
50,2021-04-06,POR,@,LAC,L,116,133,117.3,134.5,98.9,.402,.391,.536,50.0,48.6,4.0,10.4,,.462,6.1,25.9,.337,,6.4,81.0,.281
51,2021-04-08,POR,@,UTA,L,103,122,105.9,125.4,97.3,.188,.500,.496,41.4,47.4,3.1,9.4,,.464,5.5,17.0,.146,,6.1,69.6,.253
52,2021-04-10,POR,,DET,W,118,103,122.1,106.5,96.7,.267,.322,.587,56.3,41.9,5.2,14.0,,.550,13.0,32.6,.211,,10.3,79.5,.241
53,2021-04-11,POR,,MIA,L,98,107,107.7,117.6,91.0,.247,.455,.574,57.7,56.8,5.5,9.3,,.552,16.6,25.0,.169,,7.1,84.6,.157
54,2021-04-13,POR,,BOS,L,115,116,114.6,115.6,100.3,.189,.478,.590,50.0,72.1,6.0,9.1,,.572,12.6,17.8,.133,,8.2,80.9,.189
55,2021-04-16,POR,@,SAS,W,107,106,111.8,110.7,95.7,.180,.326,.557,43.7,56.1,9.4,8.3,,.522,10.3,20.5,.157,,12.3,67.4,.095
56,2021-04-18,POR,@,CHO,L,101,109,105.6,114.0,95.6,.308,.396,.489,50.5,50.0,7.3,7.5,,.451,7.2,25.0,.209,,13.4,82.9,.157
57,2021-04-20,POR,,LAC,L,112,113,120.3,121.4,93.1,.202,.468,.547,48.3,52.4,7.5,7.7,,.521,5.5,27.1,.149,,9.4,74.4,.133
58,2021-04-21,POR,,DEN,L,105,106,114.9,116.0,91.4,.172,.414,.561,47.1,52.5,7.7,4.1,,.529,10.5,23.1,.149,,12.0,66.7,.170
59,2021-04-23,POR,,MEM,L,128,130,123.7,125.6,103.5,.281,.365,.593,56.2,60.9,5.8,4.4,,.552,9.3,31.1,.229,,6.9,81.8,.173
60,2021-04-25,POR,,MEM,L,113,120,104.3,110.7,108.4,.238,.362,.487,49.5,53.8,10.2,8.8,,.438,8.7,24.6,.200,,12.7,82.6,.264
61,2021-04-27,POR,@,IND,W,133,112,130.2,109.7,102.1,.151,.330,.588,60.0,52.0,5.9,8.9,,.566,10.3,39.2,.123,,11.7,84.1,.256
