G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,SAC,,HOU,L,100,105,103.9,109.1,96.3,.114,.261,.541,48.8,45.2,5.2,10.5,,.523,15.5,22.0,.091,,12.8,73.3,.325
2,2017-10-20,SAC,@,DAL,W,93,88,105.9,100.2,87.9,.149,.264,.502,61.3,54.1,9.1,7.1,,.483,13.1,35.6,.103,,12.5,85.4,.200
3,2017-10-21,SAC,@,DEN,L,79,96,88.6,107.7,89.2,.153,.259,.435,40.2,48.4,6.7,5.5,,.412,12.5,23.1,.106,,14.6,60.0,.141
4,2017-10-23,SAC,@,PHO,L,115,117,112.2,114.2,102.5,.293,.222,.514,45.1,44.2,12.7,4.3,,.480,7.5,25.0,.202,,18.4,80.0,.299
5,2017-10-26,SAC,,NOP,L,106,114,108.4,116.5,97.8,.309,.247,.576,42.0,65.8,7.2,9.3,,.512,11.5,11.9,.284,,13.5,74.4,.198
6,2017-10-29,SAC,,WAS,L,83,110,88.8,117.7,93.5,.195,.268,.466,46.7,40.6,8.6,3.9,,.427,16.0,23.4,.159,,13.8,71.1,.153
7,2017-10-31,SAC,@,IND,L,83,101,87.1,106.0,95.2,.159,.159,.441,45.9,40.5,8.4,8.9,,.432,12.9,18.8,.080,,12.9,72.0,.200
8,2017-11-01,SAC,@,BOS,L,86,113,96.7,127.1,88.9,.148,.247,.498,33.3,68.6,11.2,12.2,,.469,14.8,16.3,.123,,15.0,54.3,.195
9,2017-11-04,SAC,@,DET,L,99,108,105.8,115.4,93.6,.171,.276,.606,47.8,60.0,6.4,1.8,,.592,17.2,10.0,.118,,13.6,78.4,.190
10,2017-11-07,SAC,,OKC,W,94,86,94.2,86.2,99.8,.152,.304,.558,51.6,56.8,6.0,10.2,,.525,21.4,12.5,.139,,12.7,82.4,.209
11,2017-11-09,SAC,,PHI,W,109,108,106.2,105.3,102.6,.301,.290,.517,44.6,72.5,5.8,10.0,,.495,7.9,15.7,.183,,14.7,74.0,.218
12,2017-11-11,SAC,@,NYK,L,91,118,96.4,124.9,94.4,.375,.275,.488,51.2,63.3,6.4,6.3,,.419,12.2,25.6,.300,,10.2,79.5,.133
