G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,SAS,@,MEM,W,131,119,121.6,110.5,107.7,.305,.263,.608,53.3,58.3,7.4,11.8,,.558,8.5,17.8,.263,,9.7,88.9,.116
2,2020-12-26,SAS,,TOR,W,119,114,114.3,109.5,104.1,.160,.340,.556,53.5,76.6,3.8,5.5,,.540,13.0,28.0,.110,,9.7,79.6,.115
3,2020-12-27,SAS,@,NOP,L,95,98,94.2,97.2,100.9,.090,.404,.513,45.6,68.4,5.0,14.3,,.489,14.0,8.5,.090,,7.0,76.8,.223
4,2020-12-30,SAS,,LAL,L,107,121,107.6,121.7,99.4,.264,.276,.551,45.3,62.5,8.0,7.1,,.517,9.3,14.9,.195,,15.8,82.1,.183
5,2021-01-01,SAS,,LAL,L,103,109,102.5,108.4,100.5,.306,.400,.534,43.7,63.9,3.0,11.8,,.500,11.9,16.0,.212,,10.7,69.8,.129
6,2021-01-03,SAS,,UTA,L,109,130,103.0,122.9,105.8,.200,.181,.477,44.1,52.3,12.3,8.3,,.448,5.8,22.6,.143,,16.3,77.5,.124
7,2021-01-05,SAS,@,LAC,W,116,113,119.6,116.5,97.0,.115,.417,.575,49.4,52.3,9.3,5.9,,.563,9.0,22.4,.083,,12.4,82.5,.140
8,2021-01-07,SAS,@,LAL,W,118,109,120.7,111.5,97.8,.185,.380,.593,45.5,65.1,4.1,5.4,,.554,5.7,13.3,.174,,12.0,79.1,.151
9,2021-01-09,SAS,@,MIN,W,125,122,118.0,115.2,95.9,.287,.317,.549,47.5,50.0,7.6,4.5,,.500,5.0,22.2,.238,,13.4,76.6,.115
10,2021-01-10,SAS,@,MIN,L,88,96,91.7,100.0,96.0,.149,.319,.439,46.4,58.3,4.2,9.1,,.426,9.1,17.3,.085,,12.5,80.0,.235
