G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,TOR,,CLE,W,116,104,115.6,103.7,100.3,.217,.359,.575,46.7,46.7,6.0,10.6,,.565,8.2,18.6,.130,,13.5,71.4,.341
2,2018-10-19,TOR,,BOS,W,113,101,115.6,103.3,97.8,.207,.380,.563,50.0,55.8,3.1,4.8,,.538,10.7,26.7,.152,,11.9,69.8,.071
3,2018-10-20,TOR,@,WAS,W,117,113,114.7,110.7,102.0,.409,.330,.563,58.4,53.8,4.9,10.0,,.500,14.1,33.3,.330,,9.6,80.9,.292
4,2018-10-22,TOR,,CHO,W,127,106,126.8,105.8,100.2,.161,.448,.682,52.9,72.0,10.0,11.6,,.661,12.2,15.6,.138,,10.3,74.5,.155
5,2018-10-24,TOR,,MIN,W,112,105,115.1,107.9,97.3,.135,.360,.594,50.0,56.5,9.2,12.1,,.579,14.5,28.2,.101,,12.7,67.3,.104
6,2018-10-26,TOR,,DAL,W,116,107,115.2,106.2,100.7,.220,.297,.581,53.2,52.3,9.9,8.1,,.544,10.7,26.1,.187,,12.0,79.2,.207
7,2018-10-29,TOR,@,MIL,L,109,124,101.1,115.0,107.8,.272,.437,.473,47.2,64.1,8.3,14.9,,.422,8.0,23.4,.214,,14.5,81.8,.163
8,2018-10-30,TOR,,PHI,W,129,112,120.5,104.6,107.1,.304,.293,.618,47.8,61.7,12.1,11.8,,.571,12.6,23.1,.261,,18.1,66.7,.242
9,2018-11-02,TOR,@,PHO,W,107,98,109.7,100.5,97.5,.259,.407,.593,44.3,70.7,11.3,15.4,,.580,12.6,14.0,.160,,13.2,73.3,.110
10,2018-11-04,TOR,@,LAL,W,121,107,117.5,103.9,103.0,.143,.357,.581,56.3,65.3,8.7,6.6,,.551,10.3,28.9,.133,,14.1,85.7,.271
11,2018-11-05,TOR,@,UTA,W,124,111,124.5,111.4,99.6,.163,.384,.673,51.8,42.9,9.0,5.5,,.645,13.2,20.0,.151,,10.3,75.0,.314
12,2018-11-07,TOR,@,SAC,W,114,105,111.5,102.7,102.2,.258,.404,.575,63.1,41.5,9.8,6.2,,.522,16.8,34.2,.236,,13.5,87.0,.148
13,2018-11-10,TOR,,NYK,W,128,112,128.0,112.0,100.0,.506,.443,.663,49.5,57.1,8.0,5.4,,.620,13.4,27.9,.380,,11.7,68.0,.188
14,2018-11-12,TOR,,NOP,L,110,126,108.7,124.5,101.2,.227,.464,.516,44.3,56.4,8.9,6.9,,.469,8.6,24.5,.196,,11.0,68.2,.081
15,2018-11-14,TOR,,DET,L,104,106,98.9,100.8,105.1,.185,.217,.523,55.7,51.1,8.6,5.2,,.511,16.7,27.3,.109,,14.9,84.1,.088
16,2018-11-16,TOR,@,BOS,L,116,123,108.0,114.5,97.3,.299,.299,.528,48.3,47.6,11.2,6.3,,.474,10.6,22.9,.247,,15.3,78.0,.225
17,2018-11-17,TOR,@,CHI,W,122,83,113.1,77.0,107.8,.146,.393,.644,61.4,64.6,13.0,16.9,,.618,19.5,22.9,.135,,18.8,86.8,.174
18,2018-11-20,TOR,@,ORL,W,93,91,96.6,94.5,96.3,.092,.391,.514,46.7,59.0,7.3,9.3,,.500,15.0,13.6,.069,,13.2,77.1,.179
19,2018-11-21,TOR,@,ATL,W,124,108,124.3,108.3,99.7,.256,.322,.619,61.8,68.8,6.0,1.8,,.594,14.5,35.9,.189,,8.2,82.0,.151
20,2018-11-23,TOR,,WAS,W,125,107,123.5,105.7,101.2,.204,.419,.617,53.2,69.6,4.9,11.1,,.586,12.9,30.2,.172,,10.0,72.5,.180
21,2018-11-25,TOR,,MIA,W,125,115,130.3,119.8,96.0,.278,.389,.619,50.5,53.2,4.2,11.9,,.583,8.2,27.5,.222,,6.0,67.9,.232
22,2018-11-27,TOR,@,MEM,W,122,114,132.3,123.6,92.2,.406,.478,.750,47.0,59.5,5.4,8.9,,.739,15.6,14.3,.290,,12.1,71.1,.212
23,2018-11-29,TOR,,GSW,W,131,128,125.3,122.4,94.7,.267,.422,.651,44.6,53.2,4.8,8.2,,.606,12.2,19.4,.244,,11.1,63.8,.165
24,2018-12-01,TOR,@,CLE,W,106,95,112.3,100.7,94.4,.313,.325,.582,48.8,38.5,5.3,7.6,,.531,9.9,15.4,.263,,10.0,76.6,.250
