G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,UTA,,DEN,W,106,96,112.2,101.6,94.5,.198,.296,.602,48.6,68.3,9.5,10.0,,.562,14.6,16.2,.185,,19.6,81.1,.143
2,2017-10-20,UTA,@,MIN,L,97,100,102.0,105.2,95.1,.221,.286,.574,46.3,62.2,10.5,13.6,,.539,18.4,17.1,.182,,14.0,75.6,.259
3,2017-10-21,UTA,,OKC,W,96,87,103.3,93.6,93.0,.182,.377,.577,51.9,57.9,11.8,8.9,,.552,17.8,18.9,.143,,16.4,81.0,.154
4,2017-10-24,UTA,@,LAC,L,84,102,91.0,110.5,92.3,.139,.354,.501,48.2,58.8,7.6,13.0,,.475,17.7,19.5,.114,,12.4,75.0,.169
5,2017-10-25,UTA,@,PHO,L,88,97,87.6,96.6,100.4,.325,.325,.500,44.4,62.5,8.0,13.0,,.455,20.7,15.2,.234,,13.8,69.8,.073
6,2017-10-28,UTA,,LAL,W,96,81,107.4,90.6,89.4,.165,.392,.567,55.7,48.6,10.1,8.5,,.551,19.9,35.9,.114,,15.1,71.4,.173
7,2017-10-30,UTA,,DAL,W,104,89,110.8,94.8,93.8,.185,.432,.594,45.5,65.8,17.1,15.4,,.568,13.8,15.4,.148,,22.9,76.3,.118
8,2017-11-01,UTA,,POR,W,112,103,103.7,95.4,97.8,.400,.322,.529,50.9,47.1,8.3,13.6,,.450,11.7,19.2,.344,,13.9,80.4,.215
9,2017-11-03,UTA,,TOR,L,100,109,109.0,118.8,91.8,.300,.288,.552,45.8,31.4,9.8,12.2,,.488,12.6,22.7,.275,,16.1,82.1,.310
10,2017-11-05,UTA,@,HOU,L,110,137,107.5,133.9,102.3,.273,.386,.558,44.0,57.9,6.8,7.1,,.506,11.7,17.8,.239,,18.1,83.3,.222
