G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-18,WAS,,MIA,L,112,113,109.9,110.8,101.9,.481,.321,.570,42.1,50.0,6.9,24.2,,.512,12.5,17.5,.358,,12.5,60.0,.258
2,2018-10-20,WAS,,TOR,L,113,117,110.7,114.7,102.0,.360,.438,.548,41.6,54.1,10.8,15.3,,.489,9.6,19.1,.292,,14.1,66.7,.330
3,2018-10-22,WAS,@,POR,W,125,124,105.4,104.6,107.4,.236,.336,.515,43.5,50.0,5.1,10.1,,.486,7.6,18.5,.164,,13.5,71.2,.250
4,2018-10-24,WAS,@,GSW,L,122,144,114.3,134.9,106.7,.301,.452,.579,41.5,52.4,6.6,1.7,,.516,10.2,15.6,.280,,12.7,73.0,.250
5,2018-10-26,WAS,@,SAC,L,112,116,102.8,106.5,108.9,.267,.488,.583,44.2,55.0,7.3,12.1,,.547,17.9,11.4,.209,,14.6,72.5,.147
6,2018-10-28,WAS,@,LAC,L,104,136,97.5,127.6,106.6,.289,.278,.476,44.1,47.4,6.6,4.1,,.418,11.4,24.6,.237,,11.4,68.9,.078
7,2018-10-30,WAS,@,MEM,L,95,107,99.5,112.1,95.5,.270,.473,.574,49.3,75.0,9.4,15.2,,.527,19.5,13.5,.230,,14.6,84.2,.297
8,2018-11-02,WAS,,OKC,L,111,134,108.6,131.1,102.2,.209,.349,.591,44.1,61.4,5.9,7.4,,.564,16.1,16.2,.163,,11.8,77.4,.244
9,2018-11-04,WAS,,NYK,W,108,95,110.3,97.1,97.9,.470,.313,.539,48.0,58.3,12.3,16.7,,.470,11.5,29.4,.361,,15.2,68.1,.129
10,2018-11-06,WAS,@,DAL,L,100,119,101.8,121.2,98.2,.230,.402,.522,39.0,73.0,8.1,12.5,,.489,9.5,11.1,.172,,15.3,73.0,.317
11,2018-11-09,WAS,@,ORL,L,108,117,109.2,118.3,98.9,.232,.329,.598,46.1,57.1,8.1,5.5,,.579,16.6,16.2,.159,,13.7,74.4,.186
12,2018-11-10,WAS,@,MIA,W,116,110,118.2,112.1,98.1,.458,.265,.582,55.8,35.0,8.2,9.1,,.530,13.1,40.0,.337,,16.0,69.6,.227
13,2018-11-12,WAS,,ORL,W,117,109,123.6,115.1,94.7,.418,.418,.626,54.7,60.0,8.4,11.9,,.589,9.7,21.2,.304,,11.3,81.0,.090
14,2018-11-14,WAS,,CLE,W,119,95,113.7,90.8,104.6,.283,.435,.575,51.2,68.2,16.2,5.4,,.549,14.8,26.7,.196,,20.2,78.0,.273
15,2018-11-16,WAS,,BRK,L,104,115,103.6,114.6,100.4,.391,.207,.510,50.0,48.6,5.0,7.0,,.443,11.3,26.1,.310,,9.3,72.9,.333
16,2018-11-18,WAS,,POR,L,109,119,103.8,113.3,105.0,.219,.333,.518,45.3,65.1,3.8,16.1,,.516,9.5,17.3,.104,,12.9,79.1,.349
17,2018-11-20,WAS,,LAC,W,125,118,120.3,113.6,103.9,.419,.419,.567,50.0,67.5,10.6,12.9,,.500,6.0,22.9,.344,,14.9,82.5,.169
18,2018-11-23,WAS,@,TOR,L,107,125,105.7,123.5,101.2,.190,.460,.494,46.8,70.0,7.9,13.0,,.445,10.0,27.5,.180,,12.9,69.8,.172
19,2018-11-24,WAS,,NOP,W,124,114,115.3,106.0,107.5,.256,.322,.619,51.1,58.8,11.2,15.3,,.622,12.3,12.2,.133,,13.9,85.1,.189
20,2018-11-26,WAS,,HOU,W,135,131,127.9,124.1,95.6,.360,.326,.655,44.2,58.0,6.6,14.3,,.624,11.2,23.1,.270,,14.9,61.7,.216
21,2018-11-28,WAS,@,NOP,L,104,125,98.5,118.4,105.6,.168,.411,.510,37.3,63.4,11.4,3.4,,.500,13.6,20.3,.095,,15.7,60.5,.232
22,2018-11-30,WAS,@,PHI,L,98,123,94.0,117.9,104.3,.207,.304,.488,42.0,59.5,9.6,6.7,,.446,13.0,16.3,.174,,9.6,66.7,.255
23,2018-12-01,WAS,,BRK,W,102,88,106.3,91.7,96.0,.228,.329,.587,47.5,46.3,8.3,6.3,,.570,13.0,6.1,.152,,15.6,76.6,.247
24,2018-12-03,WAS,@,NYK,W,110,107,114.2,111.1,96.3,.130,.348,.565,40.9,68.2,7.3,14.3,,.549,9.3,18.2,.098,,13.5,61.2,.233
25,2018-12-05,WAS,@,ATL,W,131,117,118.5,105.8,110.6,.337,.400,.600,53.3,76.1,8.1,7.4,,.547,12.1,25.5,.284,,13.9,82.2,.250
26,2018-12-08,WAS,@,CLE,L,101,116,114.3,131.3,88.3,.186,.442,.543,40.2,68.4,3.4,5.2,,.523,7.9,17.8,.128,,7.0,67.6,.079
27,2018-12-10,WAS,@,IND,L,101,109,99.4,107.3,101.6,.273,.341,.512,40.5,59.5,12.8,5.4,,.477,10.9,12.2,.193,,21.2,80.0,.224
28,2018-12-12,WAS,,BOS,L,125,130,114.8,119.4,98.6,.319,.363,.602,45.1,54.3,6.4,6.1,,.571,12.6,18.2,.231,,10.2,70.2,.240
